Numero_unique_specimen,BioSample Acession,Type_analyse,Annee_envoi,No_soumission_GQ,No_plaque_envoi,Nom_projet,Numero_unique_groupe,Numero_reception_specimen,Nom_commun,Genre,Espece,Couleur_individu,Age,Sexe_visuel,Region_echantillonnage,Lieu_echantillonnage,Latitude_echantillonnage_DD,Longitude_echantillonnage_DD,Annee_echantillonnage,Mois_echantillonnage,Jour_echantillonnage,Communaute,Nom_chasseur,Sexe_laboratoire,Technique_sexage,Responsable_sexage,Numero_unique_extrait,Haplotype,Librairie_ref
S_20_00784,SAMN36656252,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00784,ARPG_07_1328,BELUGA,Delphinapterus,leucas,NA,29,M,CSB,Pangnirtung_Kangilo_Fjord,NA,NA,2007,7,4,Pangnirtung,R_Dialla,M,qPCR,C_Bonnet,ADN_20_00988,HL024,librairie_143_haplotypes615
S_20_00742,SAMN36656220,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00742,ARSQ_04_A,BELUGA,Delphinapterus,leucas,NA,27,NA,SAN,Sanikiluaq,NA,NA,2004,NA,NA,Sanikiluaq,NA,F,qPCR,S_Guillou,ADN_20_00990,NA,librairie_143_haplotypes615
S_20_00618,SAMN36656136,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00618,ARAR_03_1041,BELUGA,Delphinapterus,leucas,NA,16,F,NWH,Arviat,NA,NA,2003,8,17,Arviat,NA,F,qPCR,S_Guillou,ADN_20_00991,HL006,librairie_143_haplotypes615
S_20_00797,SAMN36656262,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00797,ARAR_03_1044,BELUGA,Delphinapterus,leucas,NA,27,M,NWH,Arviat,NA,NA,2003,8,17,Arviat,NA,M,qPCR,S_Guillou,ADN_20_00994,HL046,librairie_143_haplotypes615
S_20_00800,SAMN36656265,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00800,ARAR_03_1050,BELUGA,Delphinapterus,leucas,NA,7,F,NWH,Arviat,NA,NA,2003,8,15,Arviat,NA,M,qPCR,S_Guillou,ADN_20_00998,HL003,librairie_143_haplotypes615
S_20_00801,SAMN36656266,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00801,ARAR_03_1052,BELUGA,Delphinapterus,leucas,NA,15,M,NWH,Arviat,NA,NA,2003,8,NA,Arviat,NA,M,qPCR,S_Guillou,ADN_20_01000,HL003,librairie_143_haplotypes615
S_20_00802,SAMN36656267,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00802,ARAR_03_1053,BELUGA,Delphinapterus,leucas,NA,16,M,NWH,Arviat,NA,NA,2003,8,14,Arviat,NA,M,qPCR,C_Bonnet,ADN_20_01001,HL003,librairie_143_haplotypes615
S_20_00803,SAMN36656268,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00803,ARAR_03_1054,BELUGA,Delphinapterus,leucas,NA,13,M,NWH,Arviat,NA,NA,2003,8,14,Arviat,NA,M,qPCR,S_Guillou,ADN_20_01002,HL044,librairie_143_haplotypes615
S_20_00805,SAMN36656270,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00805,ARAR_03_1057,BELUGA,Delphinapterus,leucas,NA,14,F,NWH,Arviat,NA,NA,2003,8,9,Arviat,NA,M,qPCR,C_Bonnet,ADN_20_01004,HL001,librairie_143_haplotypes615
S_20_00615,SAMN36656133,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00615,ARAR_03_1060,BELUGA,Delphinapterus,leucas,NA,15,F,NWH,Arviat,NA,NA,2003,8,9,Arviat,NA,M,qPCR,S_Guillou,ADN_20_01007,HL001,librairie_143_haplotypes615
S_20_00616,SAMN36656134,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00616,ARAR_03_1062,BELUGA,Delphinapterus,leucas,NA,22,F,NWH,Arviat,NA,NA,2003,8,14,Arviat,NA,F,qPCR,S_Guillou,ADN_20_01009,HL001,librairie_143_haplotypes615
S_20_00789,SAMN36656255,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00789,ARAR_03_1063,BELUGA,Delphinapterus,leucas,NA,42,M,NWH,Arviat,NA,NA,2003,8,NA,Arviat,NA,M,qPCR,S_Guillou,ADN_20_01010,HL003,librairie_143_haplotypes615
S_20_00790,SAMN36656256,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00790,ARAR_03_1064,BELUGA,Delphinapterus,leucas,NA,28,M,NWH,Arviat,NA,NA,2003,8,27,Arviat,NA,M,qPCR,C_Bonnet,ADN_20_01011,HL043,librairie_143_haplotypes615
S_20_00792,SAMN36656258,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00792,ARAR_03_1066,BELUGA,Delphinapterus,leucas,NA,24,M,NWH,Arviat,NA,NA,2003,8,10,Arviat,NA,M,qPCR,C_Bonnet,ADN_20_01013,HL006,librairie_143_haplotypes615
S_20_00786,NA,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00786,ARAR_03_1070,BELUGA,Delphinapterus,leucas,NA,18,M,NWH,Arviat,NA,NA,2003,8,12,Arviat,NA,M,qPCR,S_Guillou,ADN_20_01017,HL041,librairie_143_haplotypes615
S_20_00607,SAMN36656127,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00607,ARAR_03_1073,BELUGA,Delphinapterus,leucas,NA,23,M,NWH,Arviat,NA,NA,2003,8,17,Arviat,NA,M,qPCR,C_Bonnet,ADN_20_01020,HL003,librairie_143_haplotypes615
S_20_00606,SAMN36656126,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00606,ARAR_03_1074,BELUGA,Delphinapterus,leucas,NA,11,F,NWH,Arviat,NA,NA,2003,8,17,Arviat,NA,F,qPCR,S_Guillou,ADN_20_01021,HL004,librairie_143_haplotypes615
S_20_00605,SAMN36656125,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00605,ARAR_03_1080,BELUGA,Delphinapterus,leucas,NA,45,M,NWH,Arviat,NA,NA,2003,8,NA,Arviat,NA,M,qPCR,C_Bonnet,ADN_20_01025,HL003,librairie_143_haplotypes615
S_20_00780,SAMN36656249,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00780,ARCH_01_1111,BELUGA,Delphinapterus,leucas,NA,15,F,NWH,Coral Harbour_Ruin Point,NA,NA,2001,9,3,Coral Harbour,NA,F,qPCR,S_Guillou,ADN_20_01027,HL020,librairie_143_haplotypes615
S_20_00806,SAMN36656271,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00806,NQ02_4146,BELUGA,Delphinapterus,leucas,NA,NA,M,JAM,Bear_Island_Baie_James,54.2,-81,2002,9,7,Inukjuak,NA,M,qPCR,S_Guillou,ADN_20_01028,HL001,librairie_143_haplotypes615
S_20_00807,SAMN36656272,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00807,NQ02_4147,BELUGA,Delphinapterus,leucas,NA,NA,F,JAM,Bear_Island_Baie_James,54.2,-81,2002,9,7,Inukjuak,NA,F,qPCR,S_Guillou,ADN_20_01029,HL001,librairie_143_haplotypes615
S_20_01221,NA,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_01221,ARRB_01_1129,NARVAL,Monodon,monoceros,NA,NA,M,NHB,Repulse_Bay,NA,NA,2001,8,NA,Naujaat,NA,M,qPCR,S_Guillou,ADN_20_01033,NA,librairie_143_haplotypes615
S_20_01219,NA,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_01219,ARRB_01_1132,NARVAL,Monodon,monoceros,NA,NA,M,NHB,Repulse_Bay,NA,NA,2001,8,5,Naujaat,NA,M,qPCR,S_Guillou,ADN_20_01034,NA,librairie_143_haplotypes615
S_20_01215,NA,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_01215,ARPG_02_001,NARVAL,Monodon,monoceros,NA,NA,M,CSB,Cumberland_sound,66.150824,-65.710121,2001,5,23,Pangnirtung,NA,M,qPCR,C_Bonnet,ADN_20_01037,NA,librairie_143_haplotypes615
S_20_01216,NA,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_01216,ARPG_02_002,NARVAL,Monodon,monoceros,NA,NA,M,CSB,Cumberland_sound,66.150824,-65.710121,2001,5,23,Pangnirtung,NA,M,qPCR,C_Bonnet,ADN_20_01038,NA,librairie_143_haplotypes615
S_20_00700,NA,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00700,ARPG_02_003,NARVAL,Monodon,monoceros,NA,NA,M,CSB,Cumberland_sound,66.150824,-65.710121,2001,5,23,Pangnirtung,NA,M,qPCR,C_Bonnet,ADN_20_01039,NA,librairie_143_haplotypes615
S_20_00621,SAMN36656138,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00621,DL2003_S_1852,BELUGA,Delphinapterus,leucas,Grey,NA,M,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56,-76.666,2003,7,11,DFO_MPO,NA,M,qPCR,S_Guillou,ADN_20_01042,HL001,librairie_143_haplotypes615
S_20_00601,SAMN36656121,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00601,DL2003_S_9151,BELUGA,Delphinapterus,leucas,White,NA,M,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56,-76.666,2003,7,11,DFO_MPO,NA,M,qPCR,C_Bonnet,ADN_20_01046,HL002,librairie_143_haplotypes615
S_20_00901,SAMN36656324,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00901,DL2003_S_17905,BELUGA,Delphinapterus,leucas,Grey,NA,M,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56,-76.666,2003,7,23,DFO_MPO,NA,F,qPCR,S_Guillou,ADN_20_01590,HL001,librairie_143_haplotypes615
S_20_00652,SAMN36656161,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00652,DL2003_S_17906,BELUGA,Delphinapterus,leucas,White_and_Grey,NA,M,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56,-76.666,2003,7,23,DFO_MPO,NA,M,qPCR,S_Guillou,ADN_20_01049,HL003,librairie_143_haplotypes615
S_20_00600,SAMN36656120,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00600,DL2003_S_17908,BELUGA,Delphinapterus,leucas,NA,NA,F,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56,-76.666,2003,7,14,DFO_MPO,NA,F,qPCR,S_Guillou,ADN_20_01050,HL001,librairie_143_haplotypes615
S_20_00653,SAMN36656162,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00653,DL2003_S_17911,BELUGA,Delphinapterus,leucas,White,NA,M,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56,-76.666,2003,7,27,DFO_MPO,NA,M,qPCR,S_Guillou,ADN_20_01593,HL016,librairie_143_haplotypes615
S_20_00701,SAMN36656193,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00701,ARPG_05_1211,BELUGA,Delphinapterus,leucas,NA,29,M,CSB,Pangnirtung,NA,NA,2005,7,12,Pangnirtung,Joopa_Sowdalapiq,F,qPCR,C_Bonnet,ADN_20_01052,HL029,librairie_143_haplotypes615
S_20_00692,SAMN36656188,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00692,ARPG_05_1225,BELUGA,Delphinapterus,leucas,NA,22,NA,CSB,Pangnirtung_Tarriunittuq_Bay,NA,NA,2005,8,3,Pangnirtung,Billy_Euv,M,qPCR,S_Guillou,ADN_20_01055,HL003,librairie_143_haplotypes615
S_20_00671,SAMN37454710,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00671,ARPG_05_1226,BELUGA,Delphinapterus,leucas,NA,20,M,CSB,Pangnirtung,NA,NA,2005,8,3,Pangnirtung,Tommy_Evic,M,qPCR,S_Guillou,ADN_20_04686,HL025,librairie_143_haplotypes615
S_20_00811,SAMN36656276,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00811,ARCH_02_01,BELUGA,Delphinapterus,leucas,NA,NA,NA,NWH,Churchill,NA,NA,2002,NA,NA,Churchill,NA,F,qPCR,S_Guillou,ADN_20_01059,HL026,librairie_143_haplotypes615
S_20_00779,SAMN36656248,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00779,ARNR_02_01,BELUGA,Delphinapterus,leucas,NA,NA,F,SWH,Nelson_River,57.06494,-92.19655,2002,7,13,Churchill,NA,F,qPCR,C_Bonnet,ADN_20_01060,HL012,librairie_143_haplotypes615
S_20_00630,SAMN36656145,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00630,ARNR_04_03,BELUGA,Delphinapterus,leucas,NA,NA,F,SWH,Nelson_River,57.06494,-92.19655,2004,7,25,Churchill,NA,F,qPCR,C_Bonnet,ADN_20_01063,HL001,librairie_143_haplotypes615
S_20_01214,SAMN36656484,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_01214,ARNR_05_05,BELUGA,Delphinapterus,leucas,NA,NA,NA,SWH,Nelson_River,57.20800018,-92.26000977,2005,7,30,Churchill,NA,M,qPCR,S_Guillou,ADN_20_01071,HL003,librairie_143_haplotypes615
S_20_00703,SAMN32779554,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00703,ARPG_06_1265,BELUGA,Delphinapterus,leucas,NA,40,M,CSB,Pangnirtung,NA,NA,2006,7,1,Pangnirtung,NA,M,qPCR,S_Guillou,ADN_20_01073,HL003,librairie_143_haplotypes615
S_20_00666,SAMN36656173,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00666,ARPG_06_1280,BELUGA,Delphinapterus,leucas,NA,16,F,CSB,Pangnirtung_Emelet,NA,NA,2006,7,1,Pangnirtung,NA,M,qPCR,S_Guillou,ADN_20_01074,HL023,librairie_143_haplotypes615
S_20_00665,SAMN36656172,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00665,ARPG_06_1281,BELUGA,Delphinapterus,leucas,NA,14,NA,CSB,Pangnirtung_Imilit,NA,NA,2006,6,30,Pangnirtung,NA,M,qPCR,C_Bonnet,ADN_20_01075,HL003,librairie_143_haplotypes615
S_20_00623,SAMN37454592,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00623,ARSQ_03_1008,BELUGA,Delphinapterus,leucas,NA,21,F,SAN,Wiegand_Island,NA,NA,2003,7,7,Sanikiluaq,NA,F,qPCR,S_Guillou,ADN_20_01079,HL001,librairie_143_haplotypes615
S_20_00624,SAMN37454593,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00624,ARSQ_03_1009,BELUGA,Delphinapterus,leucas,NA,5,F,SAN,Wiegand_Island,NA,NA,2003,7,7,Sanikiluaq,NA,F,qPCR,S_Guillou,ADN_20_01080,HL009,librairie_143_haplotypes615
S_20_00625,SAMN36656140,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00625,ARSQ_03_1011,BELUGA,Delphinapterus,leucas,NA,7,NA,SAN,Sanikiluaq,NA,NA,2003,7,NA,Sanikiluaq,NA,F,qPCR,S_Guillou,ADN_20_04807,HL001,librairie_143_haplotypes615
S_20_00626,SAMN36656141,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00626,ARSQ_03_1013,BELUGA,Delphinapterus,leucas,NA,13,M,SAN,Sanikiluaq,NA,NA,2003,7,8,Sanikiluaq,Lucassie_Takatak,M,qPCR,S_Guillou,ADN_20_01082,HL010,librairie_143_haplotypes615
S_20_00720,SAMN36656203,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00720,ARSQ_03_1017,BELUGA,Delphinapterus,leucas,NA,16,M,SAN,Sanikiluaq,NA,NA,2003,9,29,Sanikiluaq,Charlie_Sala,M,qPCR,S_Guillou,ADN_20_01084,HL022,librairie_143_haplotypes615
S_20_00718,SAMN36656201,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00718,ARSQ_03_1018,BELUGA,Delphinapterus,leucas,NA,22,M,SAN,Sanikiluaq,NA,NA,2003,9,29,Sanikiluaq,Charlie_Sala,M,qPCR,S_Guillou,ADN_20_01085,HL036,librairie_143_haplotypes615
S_20_00738,SAMN36656216,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00738,ARSQ_04_1066,BELUGA,Delphinapterus,leucas,NA,21,F,SAN,Sanikiluaq,NA,NA,2004,6,17,Sanikiluaq,Charlie_Sala,U,qPCR,S_Guillou,ADN_20_01091,HL001,librairie_143_haplotypes615
S_20_00732,SAMN36656212,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00732,ARSQ_04_1067,BELUGA,Delphinapterus,leucas,NA,38,NA,SAN,Sanikiluaq,NA,NA,2004,7,NA,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01092,HL001,librairie_143_haplotypes615
S_20_00767,SAMN36656238,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00767,ARSQ_04_1071,BELUGA,Delphinapterus,leucas,NA,35,F,SAN,Sanikiluaq,NA,NA,2004,6,18,Sanikiluaq,NA,F,qPCR,S_Guillou,ADN_20_01094,HL022,librairie_143_haplotypes615
S_20_00721,SAMN36656204,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00721,ARSQ_04_1072,BELUGA,Delphinapterus,leucas,NA,18,F,SAN,Sanikiluaq,NA,NA,2004,6,18,Sanikiluaq,Lucassie_Ippak,F,qPCR,S_Guillou,ADN_20_01095,HL001,librairie_143_haplotypes615
S_20_00717,SAMN36656200,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00717,ARSQ_04_1073,BELUGA,Delphinapterus,leucas,NA,27,F,SAN,Sanikiluaq,NA,NA,2004,6,19,Sanikiluaq,NA,F,qPCR,S_Guillou,ADN_20_01096,HL035,librairie_143_haplotypes615
S_20_00755,SAMN36656230,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00755,ARSQ_04_1075,BELUGA,Delphinapterus,leucas,NA,32,F,SAN,Sanikiluaq,NA,NA,2004,6,17,Sanikiluaq,Charlie_Sala,F,qPCR,S_Guillou,ADN_20_01097,HL001,librairie_143_haplotypes615
S_20_00757,SAMN36656232,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00757,ARSQ_04_1086,BELUGA,Delphinapterus,leucas,NA,23,F,SAN,Sanikiluaq,NA,NA,2004,6,17,Sanikiluaq,Charlie_Sala,F,qPCR,S_Guillou,ADN_20_01099,HL022,librairie_143_haplotypes615
S_20_00749,SAMN36656225,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00749,ARSQ_2004_2,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01101,HL016,librairie_143_haplotypes615
S_20_00729,SAMN36656210,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00729,ARSQ_2004_4,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01103,HL001,librairie_143_haplotypes615
S_20_00725,SAMN36656207,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00725,ARSQ_2004_5,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01104,HL001,librairie_143_haplotypes615
S_20_00719,SAMN36656202,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00719,ARSQ_2004_6,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,F,qPCR,S_Guillou,ADN_20_01105,HL037,librairie_143_haplotypes615
S_20_00768,SAMN36656239,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00768,ARSQ_2004_12,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01111,HL001,librairie_143_haplotypes615
S_20_00769,SAMN36656240,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00769,ARSQ_2004_13,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01112,HL034,librairie_143_haplotypes615
S_20_00754,SAMN36656229,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00754,ARSQ_2004_14,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01113,HL039,librairie_143_haplotypes615
S_20_00724,SAMN36656206,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00724,ARSQ_2004_15,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,F,qPCR,S_Guillou,ADN_20_01114,HL034,librairie_143_haplotypes615
S_20_00735,SAMN36656215,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00735,ARSQ_2004_18,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01117,HL033,librairie_143_haplotypes615
S_20_00762,NA,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00762,ARSQ_2004_20,BELUGA,Delphinapterus,leucas,NA,NA,NA,SAN,Sanikiluaq,56.10311,-79.33353,2005,5,19,Sanikiluaq,NA,M,qPCR,S_Guillou,ADN_20_01119,HL008,librairie_143_haplotypes615
S_20_00631,SAMN37456235,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00631,ARNR_03_03,BELUGA,Delphinapterus,leucas,NA,NA,F,SWH,Nelson_River,57.06494,-92.19655,2003,8,4,Churchill,NA,F,qPCR,C_Bonnet,ADN_20_01130,HL003,librairie_143_haplotypes615
S_20_03524,SAMN37454701,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_03524,PGDL_02_04,BELUGA,Delphinapterus,leucas,NA,NA,NA,CSB,Pangnirtung_West_Cumberland_Sound,65.24083333,-66.65805556,2002,7,NA,Pangnirtung,NA,M,qPCR,S_Guillou,ADN_20_01136,HL003,librairie_143_haplotypes615
S_20_03522,SAMN36656885,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_03522,PGDL_02_05,BELUGA,Delphinapterus,leucas,NA,NA,M,CSB,Pangnirtung_West_Cumberland_Sound,65.24083333,-66.65805556,2002,7,NA,Pangnirtung,NA,M,qPCR,S_Guillou,ADN_20_01137,HL003,librairie_143_haplotypes615
S_20_00670,SAMN36656176,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00670,ARPG_02_1039,BELUGA,Delphinapterus,leucas,NA,19,F,CSB,Pangnirtung,NA,NA,2002,7,10,Pangnirtung,Silasie_Qappik,M,qPCR,C_Bonnet,ADN_20_01141,HL022,librairie_143_haplotypes615
