"ID_GQ","Q1","Q2","Q3","Q4","K","Region1","Location","Year","Month","Day"
"S_20_00857_rep",0.6117,0.3883,NA,NA,2,"UNG","Dry_Bay",2001,7,19
"S_20_00860",0.484535,0.515465,NA,NA,2,"NEH","Akulivik",2001,10,9
"S_20_00861_rep",0.41131,0.58869,NA,NA,2,"NEH","Akulivik",2001,10,9
"S_20_00865",0.382307,0.617693,NA,NA,2,"SHS","Baie_Kuuttaap_Kangirsunga",2001,7,14
"S_20_00866",0.528378,0.471622,NA,NA,2,"SHS","Salluit_Fjord",2001,6,26
"S_20_00867",0.410628,0.589372,NA,NA,2,"SHS","Cap_Uqammaq",2001,6,25
"S_20_00868",0.460481,0.539519,NA,NA,2,"SHS","Kangiqsujuaq",2001,7,30
"S_20_00870",0.579676,0.420324,NA,NA,2,"SHS","Kangiqsujuaq",2001,6,25
"S_20_00871",0.397055,0.602945,NA,NA,2,"SHS","Kangiqsujuaq",2001,7,16
"S_20_00878",0.382646,0.617354,NA,NA,2,"SHS","Digges_Islands",2001,10,23
"S_20_00881",0.714906,0.285094,NA,NA,2,"SHS","Digges_Islands",2001,10,26
"S_20_00884",0.673991,0.326009,NA,NA,2,"SHS","Nuvuk_Islands",2001,10,8
"S_20_00885",0.570563,0.429437,NA,NA,2,"SHS","Kangiqsujuaq",2004,7,12
"S_20_00890",0.455568,0.544432,NA,NA,2,"SHS","Baie_Qarliik",2004,7,2
"S_20_00891",0.478961,0.521039,NA,NA,2,"SHS","Salluit",2004,6,29
"S_20_00892",0.503191,0.496809,NA,NA,2,"SHS","Baie_Nanuttuvik",2004,7,30
"S_20_00894",0.761282,0.238718,NA,NA,2,"SHS","Ivujivik",2004,10,12
"S_20_00895",0.754902,0.245098,NA,NA,2,"SHS","Ivujivik",2004,10,19
"S_20_00897",0.38781,0.61219,NA,NA,2,"SHS","Baie_Nanuttuvik",2004,7,1
"S_20_00898",0.427683,0.572317,NA,NA,2,"SHS","Salluit",2004,7,1
"S_20_00899",0.42555,0.57445,NA,NA,2,"SHS","Falaise_Naujaat_Akulliq",2004,7,1
"S_20_00903",0.48561,0.51439,NA,NA,2,"SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,27
"S_20_00904",0.51262,0.48738,NA,NA,2,"SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,27
"S_20_00905",0.609954,0.390046,NA,NA,2,"SHS","Falaise_Innijuaq",2003,6,28
"S_20_00907",0.434408,0.565592,NA,NA,2,"SHS","Pointe_Akulivik",2003,6,26
"S_20_00908",0.440673,0.559327,NA,NA,2,"SHS","Pointe_Akulivik",2003,6,27
"S_20_00912",0.568932,0.431068,NA,NA,2,"SHS","Kangiqsujuaq",2003,6,15
"S_20_00913",0.401799,0.598201,NA,NA,2,"SHS","Kangiqsujuaq",2003,7,10
"S_20_00914",0.455611,0.544389,NA,NA,2,"SHS","Kangiqsujuaq",2003,6,22
"S_20_00915",0.627355,0.372645,NA,NA,2,"SHS","Camp_Imilimmiut",2003,6,16
"S_20_00916_rep",0.461863,0.538137,NA,NA,2,"UNG","Kangirsuk",2003,6,19
"S_20_00917",0.454851,0.545149,NA,NA,2,"UNG","Kangirsuk",2003,6,19
"S_20_00918_rep",0.541771,0.458229,NA,NA,2,"UNG","Kangirsuk",2003,6,19
"S_20_00920",0.532596,0.467404,NA,NA,2,"SHS","Camp_Imilimmiut",2003,6,16
"S_20_00921_rep",0.464246,0.535754,NA,NA,2,"UNG","Kangirsuk",2003,6,19
"S_20_00924",0.822882,0.177118,NA,NA,2,"NHB","Repulse_Bay",2002,8,3
"S_20_00925",0.88453,0.11547,NA,NA,2,"NHB","Repulse_Bay_Hurd Channel",2002,9,13
"S_20_00926",0.553828,0.446172,NA,NA,2,"NHB","Repulse_Bay_Lyon Inlet",2002,9,NA
"S_20_00927",0.59418,0.40582,NA,NA,2,"NHB","Repulse_Bay_Nauyad",2002,9,22
"S_20_00928",0.529995,0.470005,NA,NA,2,"NHB","Coral_Harbour",1993,7,26
"S_20_00929",0.41409,0.58591,NA,NA,2,"NHB","Coral_Harbour",1993,7,27
"S_20_00930",0.99999,1e-05,NA,NA,2,"NHB","Coral_Harbour",1993,7,26
"S_20_00943",0.57124,0.42876,NA,NA,2,"NHB","Coral_Harbour",1996,9,11
"S_20_00944",0.738079,0.261921,NA,NA,2,"NHB","Coral_Harbour",1996,9,25
"S_20_00945",0.723004,0.276996,NA,NA,2,"NHB","Coral_Harbour",1996,9,25
"S_20_00948",0.706857,0.293143,NA,NA,2,"NHB","Coral_Harbour",1996,9,16
"S_20_00951",0.99999,1e-05,NA,NA,2,"NHB","Repulse_Bay_White Island",2001,8,27
"S_20_00952",0.554773,0.445227,NA,NA,2,"NHB","Repulse_Bay",2002,9,22
"S_20_00954",0.867873,0.132127,NA,NA,2,"NHB","Repulse_Bay_White Island",2001,8,27
"S_20_00955",0.740074,0.259926,NA,NA,2,"NHB","Repulse_Bay_Near Tikiraq",2001,9,3
"S_20_00957",0.745461,0.254539,NA,NA,2,"NHB","Repulse_Bay",2001,9,20
"S_20_00959",0.633592,0.366408,NA,NA,2,"NHB","Repulse_Bay",2002,9,22
"S_20_00961",0.558335,0.441665,NA,NA,2,"SHS","Quaqtaq",2004,10,28
"S_20_00962",0.418416,0.581584,NA,NA,2,"SHS","Baie_Qarliik",2004,6,5
"S_20_00964",0.482895,0.517105,NA,NA,2,"SHS","Kangiqsujuaq",2004,6,25
"S_20_00965",0.446581,0.553419,NA,NA,2,"SHS","Kangiqsujuaq",2004,6,24
"S_20_00966",0.47018,0.52982,NA,NA,2,"SHS","Kangiqsujuaq",2004,7,15
"S_20_00967",0.539786,0.460214,NA,NA,2,"SHS","Kangiqsujuaq",2004,7,16
"S_20_00968",0.845834,0.154166,NA,NA,2,"SHS","Ivujivik",2004,10,6
"S_20_00969",0.72792,0.27208,NA,NA,2,"SHS","Ivujivik",2004,10,20
"S_20_00974",0.617442,0.382558,NA,NA,2,"SHS","Quaqtaq",2004,10,28
"S_20_00975",0.571228,0.428772,NA,NA,2,"SHS","Quaqtaq",2004,10,22
"S_20_00976",0.514083,0.485917,NA,NA,2,"SHS","Pointe_Naujaat",2004,6,15
"S_20_00977",0.468181,0.531819,NA,NA,2,"SHS","Pointe_Naujaat",2004,6,15
"S_20_00982",0.504842,0.495158,NA,NA,2,"SHS","Kangiqsujuaq",2003,6,18
"S_20_00983",0.774819,0.225181,NA,NA,2,"SHS","Kangiqsujuaq",2003,6,29
"S_20_00987",0.533662,0.466338,NA,NA,2,"SHS","Ivujivik",2004,7,2
"S_20_00988",0.406408,0.593592,NA,NA,2,"SHS","Ivujivik",2004,7,7
"S_20_00992",0.542316,0.457684,NA,NA,2,"SHS","Nuvuk",2003,6,18
"S_20_00993",0.502298,0.497702,NA,NA,2,"SHS","Nuvuk",2003,6,23
"S_20_00995",0.418998,0.581002,NA,NA,2,"SHS","Pointe_Naujaat",2003,6,17
"S_20_00996",0.497889,0.502111,NA,NA,2,"SHS","Pointe_Naujaat",2003,6,16
"S_20_00999",0.494115,0.505885,NA,NA,2,"SHS","Pointe_Naujaat",2003,6,17
"S_20_01000",0.596457,0.403543,NA,NA,2,"SHS","Pointe_Naujaat",2003,6,17
"S_20_01001",0.456002,0.543998,NA,NA,2,"SHS","Kangiqsujuaq",2003,6,21
"S_20_01002",0.409699,0.590301,NA,NA,2,"UNG","Kangirsuk",2003,6,15
"S_20_01003",0.449143,0.550857,NA,NA,2,"SHS","Tupirvikallak",2003,6,22
"S_20_01004",0.328954,0.671046,NA,NA,2,"SHS","Baie_Kangituuq",2003,6,8
"S_20_01009",0.400787,0.599213,NA,NA,2,"SHS","Nuvuk",2003,6,18
"S_20_01010",0.434604,0.565396,NA,NA,2,"SHS","Nuvuk",2003,6,15
"S_20_01012_rep",0.291853,0.708147,NA,NA,2,"UNG","Tasiujaq",2003,6,30
"S_20_01013_rep",0.646523,0.353477,NA,NA,2,"UNG","Tasiujaq",2003,6,30
"S_20_01014",0.410425,0.589575,NA,NA,2,"UNG","Cap_Qalirusiq",2003,8,2
"S_20_01016",0.484717,0.515283,NA,NA,2,"SHS","Camp_Imilimmiut",2003,6,25
"S_20_01017",0.465911,0.534089,NA,NA,2,"SHS","Camp_Imilimmiut",2003,6,25
"S_20_01018_rep",0.520263,0.479737,NA,NA,2,"UNG","Kuujjuaq",2003,6,29
"S_20_01019",0.316894,0.683106,NA,NA,2,"NEH","Puvirnituq",2003,9,18
"S_20_01020",0.46761,0.53239,NA,NA,2,"SHS","Camp_Imilimmiut",2003,NA,NA
"S_20_01022",0.844266,0.155734,NA,NA,2,"NWH","Whale_Cove",1997,8,10
"S_20_01023",0.380615,0.619385,NA,NA,2,"SHS","Quaqtaq",2003,7,29
"S_20_01025",0.490019,0.509981,NA,NA,2,"SHS","Quaqtaq",2003,NA,NA
"S_20_01026",0.345623,0.654377,NA,NA,2,"SHS","Camp_Imilimmiut",2003,6,17
"S_20_01028",0.465179,0.534821,NA,NA,2,"SHS","Kangiqsujuaq",2003,6,30
"S_20_01029",0.752502,0.247498,NA,NA,2,"NHB","Repulse_Bay",1997,8,28
"S_20_01030",0.686388,0.313612,NA,NA,2,"NHB","Repulse_Bay",1997,8,23
"S_20_01031",0.826603,0.173397,NA,NA,2,"NHB","Repulse_Bay",2006,8,12
"S_20_01036",0.807119,0.192881,NA,NA,2,"NHS","Cape_Dorset",2000,11,4
"S_20_01038",0.438892,0.561108,NA,NA,2,"NHS","Cape_Dorset",2000,11,1
"S_20_01040",0.403239,0.596761,NA,NA,2,"NHS","Cape_Dorset",2000,10,31
"S_20_01042",0.722335,0.277665,NA,NA,2,"NHS","Cape_Dorset_Pakituaq",1999,11,10
"S_20_01044",0.513287,0.486713,NA,NA,2,"NHB","Coral_Harbour",1999,NA,NA
"S_20_01045",0.597524,0.402476,NA,NA,2,"NHB","Coral_Harbour",1999,8,17
"S_20_01046",0.538869,0.461131,NA,NA,2,"NHB","Coral_Harbour",1999,8,16
"S_20_01047",0.647119,0.352881,NA,NA,2,"NHB","Coral_Harbour",1999,8,16
"S_20_01048",0.486938,0.513062,NA,NA,2,"NHB","Coral_Harbour",1999,8,17
"S_20_01049",0.99999,1e-05,NA,NA,2,"NHB","Coral_Harbour",1999,NA,NA
"S_20_01051",0.553425,0.446575,NA,NA,2,"NHB","Coral_Harbour",1999,8,16
"S_20_01061",0.909056,0.090944,NA,NA,2,"NHB","Coral_Harbour_Nunaguluk",2000,9,2
"S_20_01062",0.886609,0.113391,NA,NA,2,"NHB","Coral_Harbour_Snafu",2000,8,24
"S_20_01063",0.488304,0.511696,NA,NA,2,"NHB","Coral_Harbour_Bear_Island",2000,8,25
"S_20_01065",0.60824,0.39176,NA,NA,2,"NHB","Coral_Harbour",2000,8,24
"S_20_01066",0.641903,0.358097,NA,NA,2,"NHB","Coral_Harbour",2000,8,24
"S_20_01068",0.534423,0.465577,NA,NA,2,"NHB","Coral_Harbour_Prairie_Point",2000,8,26
"S_20_01071",0.524369,0.475631,NA,NA,2,"NHB","Coral_Harbour_Snafu",2000,9,5
"S_20_01072",0.592141,0.407859,NA,NA,2,"NHB","Coral_Harbour_Nunaguluk",2000,8,22
"S_20_01074",0.479318,0.520682,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,22
"S_20_01076",0.430181,0.569819,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,19
"S_20_01077",0.600429,0.399571,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,18
"S_20_01078",0.710083,0.289917,NA,NA,2,"NWH","Chesterfield_Inlet_Fish Bay",1999,9,15
"S_20_01079",0.99999,1e-05,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,NA
"S_20_01080",0.696771,0.303229,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,NA
"S_20_01081",0.44107,0.55893,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,22
"S_20_01083",0.663263,0.336737,NA,NA,2,"SHS","Digges_Islands",2001,10,22
"S_20_01084",0.483383,0.516617,NA,NA,2,"SHS","Digges_Islands",2001,10,17
"S_20_01086",0.638922,0.361078,NA,NA,2,"SHS","Digges_Islands",2001,10,22
"S_20_01087",0.587804,0.412196,NA,NA,2,"SHS","Digges_Islands",2001,10,23
"S_20_01088",0.546435,0.453565,NA,NA,2,"SHS","Digges_Islands",2001,10,23
"S_20_01092",0.448072,0.551928,NA,NA,2,"SHS","Digges_Islands",2001,10,23
"S_20_01093",0.487939,0.512061,NA,NA,2,"SHS","Digges_Islands",2001,10,23
"S_20_01094",0.662507,0.337493,NA,NA,2,"SHS","Digges_Islands",2001,10,23
"S_20_01095_rep",0.505291,0.494709,NA,NA,2,"NEH","Cape_Smith",2001,10,15
"S_20_01097",0.734099,0.265901,NA,NA,2,"NEH","Cape_Smith",2001,10,15
"S_20_01098",0.513967,0.486033,NA,NA,2,"NEH","Cape_Smith",2001,10,15
"S_20_01099",0.576167,0.423833,NA,NA,2,"NEH","Akulivik",2001,10,15
"S_20_01101",0.469158,0.530842,NA,NA,2,"SHS","Digges_Islands",2001,10,20
"S_20_01105",0.544389,0.455611,NA,NA,2,"SHS","Digges_Islands",2001,10,20
"S_20_01106",0.407458,0.592542,NA,NA,2,"SHS","Digges_Islands",2001,10,20
"S_20_01110",0.462222,0.537778,NA,NA,2,"NHS","Lake_Harbour",1994,11,1
"S_20_01113",0.689139,0.310861,NA,NA,2,"SHS","Quaqtaq",2001,10,24
"S_20_01124",0.384772,0.615228,NA,NA,2,"SEH","Nastapoka_River",1998,8,9
"S_20_01134",0.496819,0.503181,NA,NA,2,"SEH","Umiujaq",1999,8,7
"S_20_01136",0.327249,0.672751,NA,NA,2,"SEH","Lac_Tasiujaq",1995,7,15
"S_20_01137",0.536647,0.463353,NA,NA,2,"SEH","Inukjuak",2010,7,3
"S_20_01139",0.514134,0.485866,NA,NA,2,"SHS","Ivujivik",2015,11,2
"S_20_01145",0.71189,0.28811,NA,NA,2,"SEH","Inukjuak",2009,6,22
"S_20_01147",0.210871,0.789129,NA,NA,2,"SEH","Inukjuak",1997,7,24
"S_20_01210",0.514219,0.485781,NA,NA,2,"SEH","Inukjuak",2017,7,2
"S_20_01211",0.47128,0.52872,NA,NA,2,"SEH","Kuujjuarapik",2018,8,3
"S_20_01214",0.537635,0.462365,NA,NA,2,"SWH","Nelson_River",2005,7,30
"S_20_01618",0.3771,0.6229,NA,NA,2,"SEH","Umiujaq",2007,7,1
"S_20_01620",0.471012,0.528988,NA,NA,2,"SEH","Inukjuak",2010,7,4
"S_20_01621",0.490524,0.509476,NA,NA,2,"SEH","Inukjuak",1997,8,4
"S_20_01624",0.186566,0.813434,NA,NA,2,"SEH","Lac_Tasiujaq",1995,7,14
"S_20_01626",0.409684,0.590316,NA,NA,2,"SEH","Lac_Tasiujaq",2008,7,9
"S_20_01628",0.406279,0.593721,NA,NA,2,"SEH","Inukjuak",2007,7,2
"S_20_01629",0.125673,0.874327,NA,NA,2,"SEH","Lac_Tasiujaq",2009,7,25
"S_20_01630",0.370528,0.629472,NA,NA,2,"SEH","Lac_Tasiujaq",2009,7,21
"S_20_01635",0.704851,0.295149,NA,NA,2,"SEH","Umiujaq",2017,7,18
"S_20_01636",0.53119,0.46881,NA,NA,2,"SEH","Baie_Kilualuk",2008,7,10
"S_20_01637",0.363266,0.636734,NA,NA,2,"SEH","Umiujaq",2008,7,10
"S_20_01638",1e-05,0.99999,NA,NA,2,"SEH","Baie_Kilualuk",2007,8,8
