Fasta Header,SampleID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Region2,Harvest Region,SampleID,Mitochondrial clade
181.SAN.2020.BELUGA.ADN_20_05489.S_20_04088.mito (bases 1 to 16386),S_20_04088,-2.130563919,-1.380487852,0.020478661,-0.502796239,0.245330839,0.001046231,-0.662346145,0.141134162,-0.006084183,-0.023914618,181.SAN.2020.BELUGA.ADN_20_05489.S_20_04088.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04088,Clade D
185.SAN.1994.BELUGA.ADN_20_05255.S_20_03849.mito (bases 1 to 16386),S_20_03849,-2.130563919,-1.380487852,0.020478661,-0.502796239,0.245330839,0.001046231,-0.662346145,0.141134162,-0.006084183,-0.023914618,185.SAN.1994.BELUGA.ADN_20_05255.S_20_03849.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03849,Clade D
189.SAN.2018.BELUGA.ADN_20_05373.S_20_03971.mito (bases 1 to 16386),S_20_03971,-2.130563919,-1.380487852,0.020478661,-0.502796239,0.245330839,0.001046231,-0.662346145,0.141134162,-0.006084183,-0.023914618,189.SAN.2018.BELUGA.ADN_20_05373.S_20_03971.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03971,Clade D
125.SAN.1993.BELUGA.ADN_20_06003.S_20_03822.mito (bases 1 to 16386),S_20_03822,-2.13109636,-1.379946173,0.006503956,-0.577366771,0.312492028,0.010387084,-0.272028591,0.064329893,-0.003071756,0.119507992,125.SAN.1993.BELUGA.ADN_20_06003.S_20_03822.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03822,Clade D
127.SAN.1994.BELUGA.ADN_20_05248.S_20_03836.mito (bases 1 to 16386),S_20_03836,-2.13109636,-1.379946173,0.006503956,-0.577366771,0.312492028,0.010387084,-0.272028591,0.064329893,-0.003071756,0.119507992,127.SAN.1994.BELUGA.ADN_20_05248.S_20_03836.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03836,Clade D
130.SAN.1995.BELUGA.ADN_20_04912.S_20_01465.mito (bases 1 to 16386),S_20_01465,-2.13109636,-1.379946173,0.006503956,-0.577366771,0.312492028,0.010387084,-0.272028591,0.064329893,-0.003071756,0.119507992,130.SAN.1995.BELUGA.ADN_20_04912.S_20_01465.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_01465,Clade D
140.SAN.2009.BELUGA.ADN_20_04939.S_20_01441.mito (bases 1 to 16386),S_20_01441,-2.13109636,-1.379946173,0.006503956,-0.577366771,0.312492028,0.010387084,-0.272028591,0.064329893,-0.003071756,0.119507992,140.SAN.2009.BELUGA.ADN_20_04939.S_20_01441.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_01441,Clade D
173.SAN.2019.BELUGA.ADN_20_05394.S_20_03992.mito (bases 1 to 16386),S_20_03992,-2.13109636,-1.379946173,0.006503956,-0.577366771,0.312492028,0.010387084,-0.272028591,0.064329893,-0.003071756,0.119507992,173.SAN.2019.BELUGA.ADN_20_05394.S_20_03992.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03992,Clade D
182.SAN.2020.BELUGA.ADN_20_05185.S_20_03754.mito (bases 1 to 16386),S_20_03754,-2.13109636,-1.379946173,0.006503956,-0.577366771,0.312492028,0.010387084,-0.272028591,0.064329893,-0.003071756,0.119507992,182.SAN.2020.BELUGA.ADN_20_05185.S_20_03754.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03754,Clade D
186.SAN.2009.BELUGA.ADN_20_05143.S_20_03466.mito (bases 1 to 16386),S_20_03466,-2.13109636,-1.379946173,0.006503956,-0.577366771,0.312492028,0.010387084,-0.272028591,0.064329893,-0.003071756,0.119507992,186.SAN.2009.BELUGA.ADN_20_05143.S_20_03466.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03466,Clade D
132.SAN.1996.BELUGA.ADN_20_05994.S_20_03795.mito (bases 1 to 16386),S_20_03795,-2.037024038,-1.378504205,0.033255408,-0.415443768,0.191765962,0.004245852,-0.459727887,0.087140869,-0.002771875,-0.009098833,132.SAN.1996.BELUGA.ADN_20_05994.S_20_03795.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03795,Clade D
155.SAN.2007.BELUGA.ADN_20_05195.S_20_03764.mito (bases 1 to 16386),S_20_03764,-2.129064594,-1.376777118,0.021156668,-0.482079794,0.232491955,0.000853051,-0.643787688,0.133660779,-0.005458272,-0.028038542,155.SAN.2007.BELUGA.ADN_20_05195.S_20_03764.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03764,Clade D
109.SAN.1994.BELUGA.ADN_20_06011.S_20_03846.mito (bases 1 to 16386),S_20_03846,-2.128845571,-1.376218871,0.02109297,-0.479552759,0.231204862,0.000845312,-0.636841824,0.1319255,-0.005382224,-0.02752283,109.SAN.1994.BELUGA.ADN_20_06011.S_20_03846.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03846,Clade D
114.SAN.1994.BELUGA.ADN_20_05245.S_20_03832.mito (bases 1 to 16386),S_20_03832,-2.128845571,-1.376218871,0.02109297,-0.479552759,0.231204862,0.000845312,-0.636841824,0.1319255,-0.005382224,-0.02752283,114.SAN.1994.BELUGA.ADN_20_05245.S_20_03832.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03832,Clade D
120.SAN.2011.BELUGA.ADN_20_05173.S_20_03742.mito (bases 1 to 16386),S_20_03742,-2.128845571,-1.376218871,0.02109297,-0.479552759,0.231204862,0.000845312,-0.636841824,0.1319255,-0.005382224,-0.02752283,120.SAN.2011.BELUGA.ADN_20_05173.S_20_03742.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03742,Clade D
126.SAN.1993.BELUGA.ADN_20_05240.S_20_03825.mito (bases 1 to 16386),S_20_03825,-2.128845571,-1.376218871,0.02109297,-0.479552759,0.231204862,0.000845312,-0.636841824,0.1319255,-0.005382224,-0.02752283,126.SAN.1993.BELUGA.ADN_20_05240.S_20_03825.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03825,Clade D
136.SAN.2003.BELUGA.ADN_20_01088.S_20_00751.mito (bases 1 to 16386),S_20_00751,-2.128845571,-1.376218871,0.02109297,-0.479552759,0.231204862,0.000845312,-0.636841824,0.1319255,-0.005382224,-0.02752283,136.SAN.2003.BELUGA.ADN_20_01088.S_20_00751.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00751,Clade D
142.SAN.2002.BELUGA.ADN_20_02291.S_20_00739.mito (bases 1 to 16386),S_20_00739,-2.128845571,-1.376218871,0.02109297,-0.479552759,0.231204862,0.000845312,-0.636841824,0.1319255,-0.005382224,-0.02752283,142.SAN.2002.BELUGA.ADN_20_02291.S_20_00739.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00739,Clade D
174.SAN.2019.BELUGA.ADN_20_05398.S_20_03996.mito (bases 1 to 16386),S_20_03996,-2.128845571,-1.376218871,0.02109297,-0.479552759,0.231204862,0.000845312,-0.636841824,0.1319255,-0.005382224,-0.02752283,174.SAN.2019.BELUGA.ADN_20_05398.S_20_03996.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03996,Clade D
192.SAN.2018.BELUGA.ADN_20_05367.S_20_03965.mito (bases 1 to 16386),S_20_03965,-2.128845571,-1.376218871,0.02109297,-0.479552759,0.231204862,0.000845312,-0.636841824,0.1319255,-0.005382224,-0.02752283,192.SAN.2018.BELUGA.ADN_20_05367.S_20_03965.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03965,Clade D
146.SAN.2004.BELUGA.ADN_20_01094.S_20_00767.mito (bases 1 to 16386),S_20_00767,-2.132789098,-1.374793702,0.010872167,-0.59236525,0.323538512,0.012675077,-0.293811897,0.067282508,0.0597718,0.117521084,146.SAN.2004.BELUGA.ADN_20_01094.S_20_00767.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00767,Clade D
144.SAN.2002.BELUGA.ADN_20_02287.S_20_00744.mito (bases 1 to 16386),S_20_00744,-2.132569692,-1.374236261,0.010839434,-0.589260146,0.321747403,0.012560092,-0.290642016,0.066409022,0.058939048,0.115359604,144.SAN.2002.BELUGA.ADN_20_02287.S_20_00744.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00744,Clade D
118.SAN.2010.BELUGA.ADN_20_05165.S_20_03731.mito (bases 1 to 16386),S_20_03731,-2.132569289,-1.374235238,0.010839374,-0.589254449,0.321744117,0.012559881,-0.2906362,0.066407419,0.05893752,0.115355638,118.SAN.2010.BELUGA.ADN_20_05165.S_20_03731.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03731,Clade D
122.SAN.2017.BELUGA.ADN_20_05432.S_20_04031.mito (bases 1 to 16386),S_20_04031,-2.132569289,-1.374235238,0.010839374,-0.589254449,0.321744117,0.012559881,-0.2906362,0.066407419,0.05893752,0.115355638,122.SAN.2017.BELUGA.ADN_20_05432.S_20_04031.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04031,Clade D
159.SAN.2011.BELUGA.ADN_20_05988.S_20_03736.mito (bases 1 to 16386),S_20_03736,-2.132569289,-1.374235238,0.010839374,-0.589254449,0.321744117,0.012559881,-0.2906362,0.066407419,0.05893752,0.115355638,159.SAN.2011.BELUGA.ADN_20_05988.S_20_03736.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03736,Clade D
160.SAN.2011.BELUGA.ADN_20_05174.S_20_03743.mito (bases 1 to 16386),S_20_03743,-2.132569289,-1.374235238,0.010839374,-0.589254449,0.321744117,0.012559881,-0.2906362,0.066407419,0.05893752,0.115355638,160.SAN.2011.BELUGA.ADN_20_05174.S_20_03743.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03743,Clade D
178.SAN.2020.BELUGA.ADN_20_05477.S_20_04076.mito (bases 1 to 16386),S_20_04076,-2.07343653,-1.366437589,-0.20037687,-0.357448123,0.43326262,-0.090476229,-0.185948385,0.447163131,0.020608069,0.11222857,178.SAN.2020.BELUGA.ADN_20_05477.S_20_04076.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04076,Clade D
165.SAN.2016.BELUGA.ADN_20_05430.S_20_04029.mito (bases 1 to 16386),S_20_04029,-2.124867965,-1.365960153,0.018824568,-0.436225981,0.211348366,0.000835593,-0.478484158,0.094878313,-0.004036179,-0.010505979,165.SAN.2016.BELUGA.ADN_20_05430.S_20_04029.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04029,Clade D
193.SAN.2018.BELUGA.ADN_20_05381.S_20_03644.mito (bases 1 to 16386),S_20_03644,-2.124867965,-1.365960153,0.018824568,-0.436225981,0.211348366,0.000835593,-0.478484158,0.094878313,-0.004036179,-0.010505979,193.SAN.2018.BELUGA.ADN_20_05381.S_20_03644.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03644,Clade D
191.SAN.2018.BELUGA.ADN_20_05371.S_20_03969.mito (bases 1 to 16386),S_20_03969,-2.124649351,-1.365406067,0.018767721,-0.43392726,0.210171812,0.000827943,-0.473265458,0.093630333,-0.00397915,-0.010309122,191.SAN.2018.BELUGA.ADN_20_05371.S_20_03969.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03969,Clade D
188.SAN.2017.BELUGA.ADN_20_05449.S_20_04048.mito (bases 1 to 16386),S_20_04048,-2.124430781,-1.364852431,0.018711216,-0.431652638,0.209008285,0.000820432,-0.468159369,0.092414757,-0.00392371,-0.010119507,188.SAN.2017.BELUGA.ADN_20_05449.S_20_04048.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04048,Clade D
133.SAN.1997.BELUGA.ADN_20_05227.S_20_03803.mito (bases 1 to 16386),S_20_03803,-2.123806379,-1.363350839,0.019620147,-0.419393388,0.200425012,0.000648919,-0.467819052,0.088959029,-0.003461822,-0.015112203,133.SAN.1997.BELUGA.ADN_20_05227.S_20_03803.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03803,Clade D
161.SAN.2013.BELUGA.ADN_20_05353.S_20_03951.mito (bases 1 to 16386),S_20_03951,-2.123827983,-1.36326219,0.01940459,-0.419529258,0.200451346,0.000759813,-0.467542634,0.08880373,-0.002937303,-0.015502538,161.SAN.2013.BELUGA.ADN_20_05353.S_20_03951.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03951,Clade D
163.SAN.2013.BELUGA.ADN_20_05354.S_20_03952.mito (bases 1 to 16386),S_20_03952,-2.123609498,-1.362709423,0.019346168,-0.417330109,0.199341632,0.00075292,-0.462498288,0.087650817,-0.002896379,-0.015217401,163.SAN.2013.BELUGA.ADN_20_05354.S_20_03952.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03952,Clade D
128.SAN.1994.BELUGA.ADN_20_05243.S_20_03830.mito (bases 1 to 16386),S_20_03830,-2.123367768,-1.362240733,0.019501848,-0.414945989,0.198179831,0.0006369,-0.457517435,0.08659354,-0.003362978,-0.014534739,128.SAN.1994.BELUGA.ADN_20_05243.S_20_03830.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03830,Clade D
190.SAN.2018.BELUGA.ADN_20_05370.S_20_03968.mito (bases 1 to 16386),S_20_03968,-2.123367768,-1.362240733,0.019501848,-0.414945989,0.198179831,0.0006369,-0.457517435,0.08659354,-0.003362978,-0.014534739,190.SAN.2018.BELUGA.ADN_20_05370.S_20_03968.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03968,Clade D
106.SAN.2009.BELUGA.ADN_20_05141.S_20_03707.mito (bases 1 to 16386),S_20_03707,-2.122931239,-1.36113651,0.019385328,-0.410553718,0.195962074,0.000624069,-0.447476883,0.084298842,-0.003268322,-0.013987482,106.SAN.2009.BELUGA.ADN_20_05141.S_20_03707.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03707,Clade D
116.SAN.1998.BELUGA.ADN_20_05200.S_20_03769.mito (bases 1 to 16386),S_20_03769,-2.122930825,-1.361135355,0.019383885,-0.410561297,0.195967197,0.000625185,-0.447482968,0.084300545,-0.003267272,-0.013984944,116.SAN.1998.BELUGA.ADN_20_05200.S_20_03769.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03769,Clade D
107.SAN.2018.BELUGA.ADN_20_05379.S_20_03977.mito (bases 1 to 16386),S_20_03977,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,107.SAN.2018.BELUGA.ADN_20_05379.S_20_03977.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03977,Clade D
108.SAN.2019.BELUGA.ADN_20_05457.S_20_04056.mito (bases 1 to 16386),S_20_04056,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,108.SAN.2019.BELUGA.ADN_20_05457.S_20_04056.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04056,Clade D
131.SAN.1996.BELUGA.ADN_20_05224.S_20_03555.mito (bases 1 to 16386),S_20_03555,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,131.SAN.1996.BELUGA.ADN_20_05224.S_20_03555.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03555,Clade D
134.SAN.1997.BELUGA.ADN_20_05233.S_20_03816.mito (bases 1 to 16386),S_20_03816,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,134.SAN.1997.BELUGA.ADN_20_05233.S_20_03816.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03816,Clade D
137.SAN.2004.BELUGA.ADN_20_05321.S_20_00756.mito (bases 1 to 16386),S_20_00756,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,137.SAN.2004.BELUGA.ADN_20_05321.S_20_00756.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00756,Clade D
154.SAN.2007.BELUGA.ADN_20_05115.S_20_03681.mito (bases 1 to 16386),S_20_03681,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,154.SAN.2007.BELUGA.ADN_20_05115.S_20_03681.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03681,Clade D
172.SAN.2018.BELUGA.ADN_20_05389.S_20_03642.mito (bases 1 to 16386),S_20_03642,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,172.SAN.2018.BELUGA.ADN_20_05389.S_20_03642.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03642,Clade D
179.SAN.2020.BELUGA.ADN_20_05183.S_20_03752.mito (bases 1 to 16386),S_20_03752,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,179.SAN.2020.BELUGA.ADN_20_05183.S_20_03752.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03752,Clade D
175.SAN.2020.BELUGA.ADN_20_05492.S_20_04091.mito (bases 1 to 16386),S_20_04091,-2.124048775,-1.356426872,0.0236297,-0.415643352,0.200920211,0.017276981,-0.467870453,0.091106033,-0.012995976,-0.006734371,175.SAN.2020.BELUGA.ADN_20_05492.S_20_04091.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04091,Clade D
124.SAN.1993.BELUGA.ADN_20_06004.S_20_03827.mito (bases 1 to 16386),S_20_03827,-2.093854007,-1.286406578,-0.017164386,-0.393141682,0.176288149,0.001170939,-0.458960864,0.086997167,-0.002498582,-0.03649738,124.SAN.1993.BELUGA.ADN_20_06004.S_20_03827.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03827,Clade D
183.SAN.2020.BELUGA.ADN_20_05184.S_20_03753.mito (bases 1 to 16386),S_20_03753,-2.062660004,-1.19454272,-0.077549389,-0.552195275,0.276665599,0.013895346,-0.329954023,0.075549441,0.060690896,0.060212278,183.SAN.2020.BELUGA.ADN_20_05184.S_20_03753.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03753,Clade D
115.SAN.2016.BELUGA.ADN_20_05359.S_20_03957.mito (bases 1 to 16386),S_20_03957,9.599315929,-0.501358569,0.226679183,-0.598292119,-1.127658338,0.347082965,-0.255946921,-0.851371829,0.073604831,0.130974636,115.SAN.2016.BELUGA.ADN_20_05359.S_20_03957.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03957,Clade A
105.SAN.2008.BELUGA.ADN_20_05123.S_20_03689.mito (bases 1 to 16386),S_20_03689,9.629568874,-0.49771337,0.205883149,-0.348183962,-0.622144468,0.032780639,0.137451752,0.84905214,0.055210645,-0.175797169,105.SAN.2008.BELUGA.ADN_20_05123.S_20_03689.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03689,Clade A
138.SAN.2005.BELUGA.ADN_20_01105.S_20_00719.mito (bases 1 to 16386),S_20_00719,9.576720819,-0.487420015,-0.025531793,-0.317789558,-0.404040242,0.00944087,0.200435212,0.436465378,0.020292916,0.039513949,138.SAN.2005.BELUGA.ADN_20_01105.S_20_00719.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00719,Clade A
177.SAN.2020.BELUGA.ADN_20_05103.S_20_03669.mito (bases 1 to 16386),S_20_03669,9.540655998,-0.486781111,0.212163719,-0.719467497,-1.296474154,0.452420957,-0.326007443,-1.284502184,0.119461116,0.215242836,177.SAN.2020.BELUGA.ADN_20_05103.S_20_03669.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03669,Clade A
169.SAN.2016.BELUGA.ADN_20_05420.S_20_04019.mito (bases 1 to 16386),S_20_04019,9.539710751,-0.486459644,0.211341382,-0.716160603,-1.288918983,0.448338002,-0.322811592,-1.267879751,0.117604183,0.21128539,169.SAN.2016.BELUGA.ADN_20_05420.S_20_04019.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04019,Clade A
170.SAN.2016.BELUGA.ADN_20_05408.S_20_04007.mito (bases 1 to 16386),S_20_04007,9.539710751,-0.486459644,0.211341382,-0.716160603,-1.288918983,0.448338002,-0.322811592,-1.267879751,0.117604183,0.21128539,170.SAN.2016.BELUGA.ADN_20_05408.S_20_04007.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04007,Clade A
166.SAN.2016.BELUGA.ADN_20_05422.S_20_04021.mito (bases 1 to 16386),S_20_04021,9.539710751,-0.486459644,0.211341382,-0.716160603,-1.288918983,0.448338002,-0.322811592,-1.267879751,0.117604183,0.21128539,166.SAN.2016.BELUGA.ADN_20_05422.S_20_04021.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04021,Clade A
168.SAN.2016.BELUGA.ADN_20_05418.S_20_04017.mito (bases 1 to 16386),S_20_04017,9.51498829,-0.485879357,0.228106104,-0.605065519,-1.129230221,0.346599211,-0.255390966,-0.860449214,0.072764277,0.120076894,168.SAN.2016.BELUGA.ADN_20_05418.S_20_04017.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04017,Clade A
180.SAN.2020.BELUGA.ADN_20_05105.S_20_03671.mito (bases 1 to 16386),S_20_03671,9.51498829,-0.485879357,0.228106104,-0.605065519,-1.129230221,0.346599211,-0.255390966,-0.860449214,0.072764277,0.120076894,180.SAN.2020.BELUGA.ADN_20_05105.S_20_03671.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03671,Clade A
