SsampleID,ID_GQ,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,K,Region,Membership
S_20_03760,152.SAN.2006.BELUGA.ADN_20_05191.S_20_03760.dl.n_s.bam,1.00E-05,1.00E-05,0.963064,1.00E-05,1.00E-05,0.004748,1.00E-05,1.00E-05,0.032119,1.00E-05,10,BEL,JAM-BEL
S_20_03761,151.SAN.2006.BELUGA.ADN_20_05192.S_20_03761.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_03764,155.SAN.2007.BELUGA.ADN_20_05195.S_20_03764.dl.n_s.bam,0.214143,0.004494,0.021223,1.00E-05,0.034483,0.034103,0.277453,0.052191,0.038037,0.323864,10,BEL,HBSC
S_20_03769,116.SAN.1998.BELUGA.ADN_20_05200.S_20_03769.dl.n_s.bam,1.00E-05,1.00E-05,0.952939,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.046981,10,BEL,JAM-BEL
S_20_03785,129.SAN.1995.BELUGA.ADN_20_05214.S_20_03785.dl.n_s.bam,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,HBSC
S_20_03803,133.SAN.1997.BELUGA.ADN_20_05227.S_20_03803.dl.n_s.bam,0.171337,1.00E-05,0.029058,0.020337,0.045863,0.042271,0.399557,0.032465,0.05574,0.203362,10,BEL,HBSC
S_20_03816,134.SAN.1997.BELUGA.ADN_20_05233.S_20_03816.dl.n_s.bam,0.212343,1.00E-05,0.016576,1.00E-05,0.012152,1.00E-05,0.267931,0.032079,0.006516,0.452372,10,BEL,HBSC
S_20_03822,125.SAN.1993.BELUGA.ADN_20_06003.S_20_03822.dl.n_s.bam,0.249477,0.019172,0.015614,0.015901,0.027081,0.008459,0.146531,0.044557,0.016229,0.45698,10,BEL,HBSC
S_20_03827,124.SAN.1993.BELUGA.ADN_20_06004.S_20_03827.dl.n_s.bam,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,HBSC
S_20_03830,128.SAN.1994.BELUGA.ADN_20_05243.S_20_03830.dl.n_s.bam,0.185276,0.004027,0.006716,0.016026,0.009115,0.026869,0.286373,0.024623,0.05803,0.382947,10,BEL,HBSC
S_20_03832,114.SAN.1994.BELUGA.ADN_20_05245.S_20_03832.dl.n_s.bam,0.240918,0.00745,0.013299,1.00E-05,0.014555,0.009954,0.247923,0.090835,0.031342,0.343715,10,BEL,HBSC
S_20_03836,127.SAN.1994.BELUGA.ADN_20_05248.S_20_03836.dl.n_s.bam,0.204415,0.011032,0.012786,0.004757,0.016192,0.036931,0.24543,0.051262,0.031309,0.385887,10,BEL,HBSC
S_20_03876,149.SAN.2005.BELUGA.ADN_20_05280.S_20_03876.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_03880,150.SAN.2005.BELUGA.ADN_20_05284.S_20_03880.dl.n_s.bam,1.00E-05,0.003475,0.90798,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.088474,10,BEL,JAM-BEL
S_20_03881,148.SAN.2005.BELUGA.ADN_20_05285.S_20_03881.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_03965,192.SAN.2018.BELUGA.ADN_20_05367.S_20_03965.dl.n_s.bam,0.139121,0.009796,0.023558,0.029222,0.006808,0.013295,0.194953,0.03259,0.020437,0.530219,10,BEL,HBSC
S_20_03968,190.SAN.2018.BELUGA.ADN_20_05370.S_20_03968.dl.n_s.bam,0.193414,6.90E-05,0.010718,1.00E-05,0.006422,1.00E-05,0.262184,0.018538,0.035589,0.473046,10,BEL,HBSC
S_20_03969,191.SAN.2018.BELUGA.ADN_20_05371.S_20_03969.dl.n_s.bam,0.201235,0.018767,0.005741,1.00E-05,0.006156,1.00E-05,0.286388,0.038707,0.049149,0.393838,10,BEL,HBSC
S_20_03971,189.SAN.2018.BELUGA.ADN_20_05373.S_20_03971.dl.n_s.bam,0.241987,1.00E-05,0.002753,1.00E-05,0.041865,1.00E-05,0.234659,0.032747,1.00E-05,0.44595,10,BEL,HBSC
S_20_03977,107.SAN.2018.BELUGA.ADN_20_05379.S_20_03977.dl.n_s.bam,0.139796,0.018249,0.025397,0.006598,0.001639,0.015913,0.174553,0.012432,0.038565,0.566858,10,BEL,HBSC
S_20_03992,173.SAN.2019.BELUGA.ADN_20_05394.S_20_03992.dl.n_s.bam,0.156233,0.021129,0.023817,0.019476,1.00E-05,0.009179,0.238452,0.025728,0.030238,0.475739,10,BEL,HBSC
S_20_03996,174.SAN.2019.BELUGA.ADN_20_05398.S_20_03996.dl.n_s.bam,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,HBSC
S_20_04005,167.SAN.2016.BELUGA.ADN_20_05407.S_20_04005.dl.n_s.bam,0.068226,1.00E-05,1.00E-05,0.036995,0.636299,0.049285,0.209145,1.00E-05,1.00E-05,1.00E-05,10,BEL,SEHB
S_20_04007,170.SAN.2016.BELUGA.ADN_20_05408.S_20_04007.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,SEHB
S_20_04017,168.SAN.2016.BELUGA.ADN_20_05418.S_20_04017.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,SEHB
S_20_04019,169.SAN.2016.BELUGA.ADN_20_05420.S_20_04019.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,SEHB
S_20_04021,166.SAN.2016.BELUGA.ADN_20_05422.S_20_04021.dl.n_s.bam,0.173366,1.00E-05,1.00E-05,1.00E-05,0.826554,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,SEHB
S_20_04031,122.SAN.2017.BELUGA.ADN_20_05432.S_20_04031.dl.n_s.bam,0.237316,0.004341,0.014583,0.002447,0.028488,0.017593,0.279279,0.060744,1.00E-05,0.355198,10,BEL,HBSC
S_20_04033,121.SAN.2017.BELUGA.ADN_20_05434.S_20_04033.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_04034,171.SAN.2017.BELUGA.ADN_20_05435.S_20_04034.dl.n_s.bam,0.024176,1.00E-05,0.975744,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_04056,108.SAN.2019.BELUGA.ADN_20_05457.S_20_04056.dl.n_s.bam,0.218315,0.011999,0.015775,1.00E-05,0.006811,1.00E-05,0.26853,0.052235,0.00104,0.425275,10,BEL,HBSC
S_20_04076,178.SAN.2020.BELUGA.ADN_20_05477.S_20_04076.dl.n_s.bam,0.205393,0.00198,0.029732,0.023315,0.016448,0.007756,0.276677,0.067003,0.04049,0.331206,10,BEL,HBSC
S_20_04087,176.SAN.2020.BELUGA.ADN_20_05488.S_20_04087.dl.n_s.bam,0.222085,0.003396,0.018128,1.00E-05,0.015684,0.01584,0.285558,0.057843,1.00E-05,0.381447,10,BEL,HBSC
S_20_04088,181.SAN.2020.BELUGA.ADN_20_05489.S_20_04088.dl.n_s.bam,0.188099,0.014487,0.021543,1.00E-05,0.013411,0.009655,0.261846,0.099087,1.00E-05,0.391852,10,BEL,HBSC
S_20_00905,245.SHS.2003.BELUGA.ADN_20_02725.S_20_00905.dl.n_s.bam,1.00E-05,0.005394,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.295818,0.698719,10,SHS,HBSC
S_20_01140,281.SHS.2019.BELUGA.ADN_20_02324.S_20_01140.dl.n_s.bam,0.10478,0.008695,1.00E-05,0.021161,1.00E-05,1.00E-05,0.306893,0.004549,0.082194,0.471698,10,SHS,HBSC
S_20_01149,276.SHS.2019.BELUGA.ADN_20_04606.S_20_01149.dl.n_s.bam,1.00E-05,0.010071,0.001956,0.1032,0.032253,0.008878,0.323818,1.00E-05,0.212802,0.307002,10,SHS,HBSC
S_20_01181,266.SHS.2019.BELUGA.ADN_20_02312.S_20_01181.dl.n_s.bam,0.120849,1.00E-05,0.026082,0.034965,0.089023,0.042891,0.558703,0.015234,0.112232,1.00E-05,10,SHS,HBSC
S_20_01182,265.SHS.2019.BELUGA.ADN_20_02318.S_20_01182.dl.n_s.bam,1.40E-05,0.027658,1.00E-05,0.011986,0.041304,0.025217,0.298086,0.003509,0.198503,0.393713,10,SHS,HBSC
S_20_01644,269.SHS.2019.BELUGA.ADN_20_02315.S_20_01644.dl.n_s.bam,0.073534,0.004224,0.006791,0.038739,0.057474,0.010701,0.474186,0.030648,0.163187,0.140515,10,SHS,HBSC
S_20_01680,267.SHS.2019.BELUGA.ADN_20_02310.S_20_01680.dl.n_s.bam,0.012876,0.017124,0.011995,0.069298,0.051131,0.028639,0.355172,0.018536,0.192878,0.242351,10,SHS,HBSC
S_20_01699,268.SHS.2019.BELUGA.ADN_20_02311.S_20_01699.dl.n_s.bam,0.051682,0.023659,0.005727,0.024601,0.046461,0.01672,0.385939,0.014339,0.156051,0.274822,10,SHS,HBSC
S_20_01705,283.SHS.2019.BELUGA.ADN_20_02344.S_20_01705.dl.n_s.bam,0.107958,0.007402,0.044829,0.002044,0.05398,0.005662,0.331557,0.038626,0.065745,0.342196,10,SHS,HBSC
S_20_01998,273.SHS.2013.BELUGA.ADN_20_04066.S_20_01998.dl.n_s.bam,0.037646,1.00E-05,1.00E-05,0.038927,0.059642,1.00E-05,0.416259,1.00E-05,0.205865,0.241621,10,SHS,HBSC
S_20_02317,254.SHS.2000.BELUGA.ADN_20_04454.S_20_02317.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.237106,0.762814,10,SHS,HBSC
S_20_02719,263.SHS.2007.BELUGA.ADN_20_02564.S_20_02719.dl.n_s.bam,1.00E-05,0.010012,0.011278,1.00E-05,0.013942,1.00E-05,0.436156,0.001253,0.188294,0.339035,10,SHS,HBSC
S_20_02755,255.SHS.2007.BELUGA.ADN_20_02545.S_20_02755.dl.n_s.bam,1.00E-05,0.007367,0.013685,0.022541,0.01845,0.009188,0.352414,0.006281,0.220798,0.349266,10,SHS,HBSC
S_20_02799,243.SHS.2009.BELUGA.ADN_20_05055.S_20_02799.dl.n_s.bam,0.014923,0.00392,0.005391,0.007558,0.032733,0.021026,0.352776,0.012364,0.155775,0.393535,10,SHS,HBSC
S_20_03257,282.SHS.2005.BELUGA.ADN_20_04236.S_20_03257.dl.n_s.bam,1.00E-05,0.028307,1.00E-05,0.076235,0.01547,1.00E-05,0.308421,0.003424,0.189667,0.378445,10,SHS,HBSC
S_20_01763,346.SLE.2018.BELUGA.ADN_20_04289.S_20_01763.dl.n_s.bam,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,SLE,SLE
S_20_01764,350.SLE.2018.BELUGA.ADN_20_04285.S_20_01764.dl.n_s.bam,1.40E-05,0.999889,1.50E-05,1.50E-05,1.10E-05,1.00E-05,1.00E-05,1.00E-05,1.60E-05,1.00E-05,10,SLE,SLE
S_20_01773,357.SLE.2011.BELUGA.ADN_20_05805.S_20_01773.dl.n_s.bam,1.00E-05,0.571925,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.427995,1.00E-05,1.00E-05,1.00E-05,10,SLE,SLE
S_20_01785,349.SLE.2017.BELUGA.ADN_20_05740.S_20_01785.dl.n_s.bam,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,SLE,SLE
S_20_03535,355.SLE.2010.BELUGA.ADN_20_05806.S_20_03535.dl.n_s.bam,1.00E-05,0.999899,1.00E-05,1.70E-05,1.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,SLE,SLE
S_20_03537,344.SLE.2019.BELUGA.ADN_20_05812.S_20_03537.dl.n_s.bam,1.00E-05,0.999905,1.00E-05,1.50E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,SLE,SLE
S_20_03538,356.SLE.2019.BELUGA.ADN_20_05092.S_20_03538.dl.n_s.bam,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,SLE,SLE
S_20_03539,365.SLE.2019.BELUGA.ADN_20_05093.S_20_03539.dl.n_s.bam,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,SLE,SLE
S_20_00661,335.CBS.2002.BELUGA.ADN_20_04835.S_20_00661.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_00662,309.CBS.2002.BELUGA.ADN_20_01145.S_20_00662.dl.n_s.bam,1.00E-05,0.001609,1.00E-05,0.790508,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.092127,0.115695,10,CS,CS
S_20_00663,327.CBS.2002.BELUGA.ADN_20_02299.S_20_00663.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_00664,328.CBS.2005.BELUGA.ADN_20_02296.S_20_00664.dl.n_s.bam,1.00E-05,0.022687,0.009514,0.001043,0.018594,1.00E-05,0.341094,0.007612,0.178856,0.420578,10,CS,HBSC
S_20_00691,339.CBS.2002.BELUGA.ADN_20_01139.S_20_00691.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_00693,316.CBS.2005.BELUGA.ADN_20_02375.S_20_00693.dl.n_s.bam,0.028279,1.00E-05,0.027141,0.095432,0.071697,0.000667,0.39645,1.00E-05,0.215008,0.165306,10,CS,HBSC
S_20_00694,326.CBS.2002.BELUGA.ADN_20_02300.S_20_00694.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_00703,319.CBS.2006.BELUGA.ADN_20_02380.S_20_00703.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_00776,333.CBS.2002.BELUGA.ADN_20_02420.S_20_00776.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.842186,1.00E-05,1.00E-05,0.157734,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_00778,338.CBS.2002.BELUGA.ADN_20_02298.S_20_00778.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.696281,0.026108,0.103054,1.00E-05,1.00E-05,0.050428,0.124079,10,CS,CS
S_20_00781,324.CBS.2007.BELUGA.ADN_20_02283.S_20_00781.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_00784,341.CBS.2007.BELUGA.ADN_20_02285.S_20_00784.dl.n_s.bam,0.031937,1.00E-05,0.000253,0.675086,0.079245,0.099495,0.113944,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_00785,322.CBS.2006.BELUGA.ADN_20_02286.S_20_00785.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_01255,340.CBS.2009.BELUGA.ADN_20_04646.S_20_01255.dl.n_s.bam,0.042112,0.008562,0.00364,0.026845,0.019223,0.016402,0.587963,0.02548,0.169775,0.099998,10,CS,HBSC
S_20_01270,336.CBS.1997.BELUGA.ADN_20_04666.S_20_01270.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.831132,1.00E-05,0.095665,1.00E-05,1.00E-05,1.00E-05,0.073133,10,CS,CS
S_20_01273,305.CBS.1997.BELUGA.ADN_20_05020.S_20_01273.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.79441,0.042986,0.041638,1.00E-05,1.00E-05,1.00E-05,0.120906,10,CS,CS
S_20_01327,303.CBS.1997.BELUGA.ADN_20_04678.S_20_01327.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_01329,306.CBS.2001.BELUGA.ADN_20_04816.S_20_01329.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.819112,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.180808,10,CS,CS
S_20_01335,297.CBS.2000.BELUGA.ADN_20_04814.S_20_01335.dl.n_s.bam,0.023868,1.00E-05,0.008914,0.752012,1.00E-05,0.086986,0.12817,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_01409,304.CBS.1997.BELUGA.ADN_20_04853.S_20_01409.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_01418,332.CBS.2002.BELUGA.ADN_20_02301.S_20_01418.dl.n_s.bam,1.00E-05,1.00E-05,0.015479,0.747183,0.030543,0.068525,1.00E-05,1.00E-05,0.031018,0.107212,10,CS,CS
S_20_01430,330.CBS.1997.BELUGA.ADN_20_04935.S_20_01430.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_01432,331.CBS.1997.BELUGA.ADN_20_04937.S_20_01432.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_01539,301.CBS.1984.BELUGA.ADN_20_05960.S_20_01539.dl.n_s.bam,0.036991,0.006088,0.0101,0.72541,0.05197,0.081967,0.053472,0.004071,1.00E-05,0.029921,10,CS,CS
S_20_01546,329.CBS.2010.BELUGA.ADN_20_05937.S_20_01546.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_01556,298.CBS.1982.BELUGA.ADN_20_05930.S_20_01556.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.836173,1.00E-05,0.163738,1.00E-05,1.90E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_01580,302.CBS.2016.BELUGA.ADN_20_05906.S_20_01580.dl.n_s.bam,0.042837,0.014361,0.00729,0.077336,0.057684,0.011714,0.386948,0.006113,0.187222,0.208494,10,CS,HBSC
S_20_01597,299.CBS.1984.BELUGA.ADN_20_05878.S_20_01597.dl.n_s.bam,0.075972,1.00E-05,0.003471,0.008484,0.00661,0.014044,0.464175,0.011995,0.22232,0.192919,10,CS,HBSC
S_20_03496,300.CBS.1994.BELUGA.ADN_20_05968.S_20_03496.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
S_20_03509,325.CBS.2007.BELUGA.ADN_20_02294.S_20_03509.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,CS,CS
