"Numero_unique_specimen","Numero_reception_specimen","Numero_unique_groupe","Nom_commun","Genre","Espece","Couleur_individu","Age","Sexe_visuel","Region_echantillonnage","Lieu_echantillonnage","Latitude_echantillonnage_DD","Longitude_echantillonnage_DD","Annee_echantillonnage","Mois_echantillonnage","Jour_echantillonnage","Communaute","Nom_chasseur","Sexe_laboratoire","Technique_sexage","Responsable_sexage","Numero_unique_extrait","Haplotype","Librairie_ref"
"S_20_00632","ARNR_04_06","G_20_00632","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SWH","Nelson_River","57.06494","-92.19655",2004,"7",27,"Churchill",NA,"M","qPCR","S_Guillou","ADN_20_01066","HL001","librairie_143_haplotypes615"
"S_20_00633","ARNR_05_04","G_20_00633","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SWH","Nelson_River","57.18199921","-92.37399292",2005,"7",30,"Churchill",NA,"M","qPCR","S_Guillou","ADN_20_01070","HL001","librairie_143_haplotypes615"
"S_20_00634","ARHU97_002","G_20_00634","BELUGA","Delphinapterus","leucas",NA,18,NA,"NWH","Chesterfield_Inlet",NA,NA,1997,"8",12,"Chesterfield Inlet",NA,"M","qPCR","S_Guillou","ADN_20_01234","HL009","librairie_143_haplotypes615"
"S_20_00635","NQ04_6017","G_20_00635","BELUGA","Delphinapterus","leucas",NA,12,NA,"SHS","Kangiqsujuaq","61.5617","-71.6525",2004,"7",22,"Kangiqsujuaq",NA,"F","qPCR","S_Guillou","ADN_20_01477","HL001","librairie_143_haplotypes615"
"S_20_00636","NQ04_6519","G_20_00636","BELUGA","Delphinapterus","leucas",NA,24,NA,"SHS","Falaise_Innijuaq","62.425","-75.4194",2004,"7",2,"Salluit",NA,"M","qPCR","S_Guillou","ADN_20_01582","HL003","librairie_143_haplotypes615"
"S_20_00637","NQ04_6520","G_20_00637","BELUGA","Delphinapterus","leucas",NA,22,NA,"SHS","Baie_Nanuttuvik","62.286","-75.142",2004,"6",30,"Salluit",NA,"M","qPCR","S_Guillou","ADN_20_04357","HL011","librairie_143_haplotypes615"
"S_20_00638","NQ04_6522","G_20_00638","BELUGA","Delphinapterus","leucas",NA,22,NA,"SHS","Falaise_Innijuaq","62.425","-75.4194",2004,"7",1,"Salluit",NA,"F","qPCR","C_Bonnet","ADN_20_01584","HL001","librairie_143_haplotypes615"
"S_20_00639","NQ04_6171","G_20_00639","BELUGA","Delphinapterus","leucas",NA,15,NA,"SHS","Baie_Nanuttuvik","62.286","-75.142",2004,"6",30,"Salluit",NA,"M","qPCR","S_Guillou","ADN_20_04344","HL012","librairie_143_haplotypes615"
"S_20_00640","NQ04_6172","G_20_00640","BELUGA","Delphinapterus","leucas",NA,18,NA,"SHS","Salluit_Fjord","62.292","-75.483",2004,"6",30,"Salluit",NA,"M","qPCR","C_Bonnet","ADN_20_04345","HL011","librairie_143_haplotypes615"
"S_20_00641","NQ04_6176","G_20_00641","BELUGA","Delphinapterus","leucas",NA,37,NA,"SHS","Salluit","62.461","-76.606",2004,"6",5,"Salluit",NA,"M","qPCR","C_Bonnet","ADN_20_04352","HL001","librairie_143_haplotypes615"
"S_20_00642","FMMM_CH_001","G_20_00642","BELUGA","Delphinapterus","leucas",NA,40,"F","NHB","Coral_Harbour","64.074473","-83.160454",1993,"7",25,"Coral Harbour",NA,"F","qPCR","C_Bonnet","ADN_20_01228","HL008","librairie_143_haplotypes615"
"S_20_00643","FMMM_CH_011","G_20_00643","BELUGA","Delphinapterus","leucas",NA,32,"F","NHB","Coral_Harbour","63.730596","-83.551415",1993,"7",27,"Coral Harbour",NA,"M","qPCR","C_Bonnet","ADN_20_01205","HL013","librairie_143_haplotypes615"
"S_20_00644","FMMM_CH_016","G_20_00644","BELUGA","Delphinapterus","leucas",NA,22,"F","NHB","Coral_Harbour",NA,NA,1993,"7",26,"Coral Harbour",NA,"F","qPCR","S_Guillou","ADN_20_01231","HL003","librairie_143_haplotypes615"
"S_20_00645","FMMM_CH_018","G_20_00645","BELUGA","Delphinapterus","leucas",NA,28,"M","NHB","Coral_Harbour","63.971479","-83.57374",1993,"7",26,"Coral Harbour",NA,"M","qPCR","C_Bonnet","ADN_20_01233","HL009","librairie_143_haplotypes615"
"S_20_00646","NQDL_3100","G_20_00646","BELUGA","Delphinapterus","leucas",NA,35,NA,"UNG","Anse_Inussujuaq_Misaqvik","59.99425","-70.41867",2001,"7",20,"Kangirsuk",NA,"M","qPCR","S_Guillou","ADN_20_01720","HL014","librairie_143_haplotypes615"
"S_20_00647","NQDL_3095","G_20_00647","BELUGA","Delphinapterus","leucas",NA,21,NA,"UNG","Anse_Inussujuaq_Misaqvik","60.00265","-70.41779",2001,"7",19,"Kangirsuk",NA,"M","qPCR","S_Guillou","ADN_20_01782","HL003","librairie_143_haplotypes615"
"S_20_00648","NQDL_3222","G_20_00648","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SHS","Salluit_Fjord","62.23435","-75.64638",2001,"7",17,"Salluit",NA,"M","qPCR","C_Bonnet","ADN_20_01364","HL015","librairie_143_haplotypes615"
"S_20_00649","NQDL_3245","G_20_00649","BELUGA","Delphinapterus","leucas",NA,NA,NA,"UNG","Aupaluk","59.49623","-69.72468",2001,"7",5,"Aupaluk",NA,"M","qPCR","C_Bonnet","ADN_20_01733","HL014","librairie_143_haplotypes615"
"S_20_00650","NQDL_3251","G_20_00650","BELUGA","Delphinapterus","leucas",NA,29,NA,"UNG","Aupaluk","59.50397","-69.69681",2001,"7",5,"Aupaluk",NA,"F","qPCR","C_Bonnet","ADN_20_01737","HL001","librairie_143_haplotypes615"
"S_20_00651","NQDL_3093","G_20_00651","BELUGA","Delphinapterus","leucas",NA,20,NA,"UNG","Anse_Inussujuaq","59.99757","-70.43106",2001,"7",19,"Kangirsuk",NA,"M","qPCR","S_Guillou","ADN_20_01775","HL003","librairie_143_haplotypes615"
"S_20_00652","DL2003_S_17906","G_20_00652","BELUGA","Delphinapterus","leucas","White_and_Grey",NA,"M","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga","56","-76.666",2003,"7",23,"DFO_MPO",NA,"M","qPCR","S_Guillou","ADN_20_01049","HL003","librairie_143_haplotypes615"
"S_20_00653","DL2003_S_17911","G_20_00653","BELUGA","Delphinapterus","leucas","White",NA,"M","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga","56","-76.666",2003,"7",27,"DFO_MPO",NA,"M","qPCR","S_Guillou","ADN_20_01593","HL016","librairie_143_haplotypes615"
"S_20_00654","ARAR_99_1019","G_20_00654","BELUGA","Delphinapterus","leucas",NA,12,"M","NWH","Arviat_west of McConnel River",NA,NA,1999,"8",11,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_01241","HL001","librairie_143_haplotypes615"
"S_20_00655","ARAR_99_1017","G_20_00655","BELUGA","Delphinapterus","leucas",NA,13,"M","NWH","Arviat_west of McConnel River",NA,NA,1999,"8",11,"Arviat",NA,"M","qPCR","S_Guillou","ADN_20_01240","HL001","librairie_143_haplotypes615"
"S_20_00656","ARAR_99_1014","G_20_00656","BELUGA","Delphinapterus","leucas",NA,21,NA,"NWH","Arviat",NA,NA,1999,"8",11,"Arviat",NA,"M","qPCR","S_Guillou","ADN_20_01239","HL017","librairie_143_haplotypes615"
"S_20_00657","ARAR_99_1009","G_20_00657","BELUGA","Delphinapterus","leucas",NA,9,"M","NWH","Arviat_Sentry Island",NA,NA,1999,"8",12,"Arviat",NA,"M","qPCR","S_Guillou","ADN_20_01238","HL018","librairie_143_haplotypes615"
"S_20_00658","ARAR_99_1036","G_20_00658","BELUGA","Delphinapterus","leucas",NA,39,"F","NWH","Arviat_McConnel River",NA,NA,1999,"8",11,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_01388","HL019","librairie_143_haplotypes615"
"S_20_00659","ARCI_99_1005","G_20_00659","BELUGA","Delphinapterus","leucas",NA,3,"F","NWH","Chesterfield_Inlet_Pikeoleajuk",NA,NA,1999,"8",10,"Chesterfield Inlet",NA,"F","qPCR","S_Guillou","ADN_20_04675","HL020","librairie_143_haplotypes615"
"S_20_00660","ARPG_05_1220","G_20_00660","BELUGA","Delphinapterus","leucas",NA,24,NA,"CSB","Pangnirtung",NA,NA,2005,"8",3,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_04683","HL003","librairie_143_haplotypes615"
"S_20_00661","ARPG_02_1054","G_20_00661","BELUGA","Delphinapterus","leucas",NA,17,"F","CSB","Pangnirtung_Imigen",NA,NA,2002,"7",6,"Pangnirtung","Jackie_Noodlak","F","qPCR","S_Guillou","ADN_20_01144","HL003","librairie_143_haplotypes615"
"S_20_00662","ARPG_02_1072","G_20_00662","BELUGA","Delphinapterus","leucas",NA,NA,"F","CSB","Pangnirtung",NA,NA,2002,"7",25,"Pangnirtung",NA,"F","qPCR","S_Guillou","ADN_20_01145","HL021","librairie_143_haplotypes615"
"S_20_00663","ARPG_02_1075","G_20_00663","BELUGA","Delphinapterus","leucas",NA,27,NA,"CSB","Pangnirtung_Bon_Accord",NA,NA,2002,"7",22,"Pangnirtung",NA,"M","qPCR","C_Bonnet","ADN_20_01146","HL022","librairie_143_haplotypes615"
"S_20_00664","ARPG_05_1232","G_20_00664","BELUGA","Delphinapterus","leucas",NA,31,"M","CSB","Pangnirtung_Bon_Accord","65.216271","-65.750172",2005,"8",4,"Pangnirtung","Jimmy_Qaqasiq","M","qPCR","S_Guillou","ADN_20_04647","HL003","librairie_143_haplotypes615"
"S_20_00665","ARPG_06_1281","G_20_00665","BELUGA","Delphinapterus","leucas",NA,14,NA,"CSB","Pangnirtung_Imilit",NA,NA,2006,"6",30,"Pangnirtung",NA,"M","qPCR","C_Bonnet","ADN_20_01075","HL003","librairie_143_haplotypes615"
"S_20_00666","ARPG_06_1280","G_20_00666","BELUGA","Delphinapterus","leucas",NA,16,"F","CSB","Pangnirtung_Emelet",NA,NA,2006,"7",1,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_01074","HL023","librairie_143_haplotypes615"
"S_20_00667","ARPG_02_1040","G_20_00667","BELUGA","Delphinapterus","leucas",NA,18,"F","CSB","Pangnirtung_Nuvuatiakalak",NA,NA,2002,"7",21,"Pangnirtung","Robert_Dialla","F","qPCR","C_Bonnet","ADN_20_01142","HL022","librairie_143_haplotypes615"
"S_20_00668","ARPG_05_1255","G_20_00668","BELUGA","Delphinapterus","leucas",NA,17,"M","CSB","Pangnirtung",NA,NA,2005,"8",3,"Pangnirtung","Silasie_Nahashuk","M","qPCR","C_Bonnet","ADN_20_00970","HL024","librairie_143_haplotypes615"
"S_20_00669","ARPG_06_1233","G_20_00669","BELUGA","Delphinapterus","leucas",NA,35,NA,"CSB","Pangnirtung",NA,NA,2006,"6",29,"Pangnirtung",NA,"F","qPCR","C_Bonnet","ADN_20_01072",NA,"librairie_143_haplotypes615"
"S_20_00670","ARPG_02_1039","G_20_00670","BELUGA","Delphinapterus","leucas",NA,19,"F","CSB","Pangnirtung",NA,NA,2002,"7",10,"Pangnirtung","Silasie_Qappik","M","qPCR","C_Bonnet","ADN_20_01141","HL022","librairie_143_haplotypes615"
"S_20_00671","ARPG_05_1226","G_20_00671","BELUGA","Delphinapterus","leucas",NA,20,"M","CSB","Pangnirtung",NA,NA,2005,"8",3,"Pangnirtung","Tommy_Evic","M","qPCR","S_Guillou","ADN_20_04686","HL025","librairie_143_haplotypes615"
"S_20_00676","PTT_7279","G_20_00676","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NWH","Churchill","58.765","-94.202",1992,"7",5,"Churchill",NA,"M","qPCR","S_Guillou","ADN_20_01415","HL001","librairie_143_haplotypes615"
"S_20_00677","PTT_7277","G_20_00677","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NWH","Churchill",NA,NA,1992,"7",4,NA,NA,"M","qPCR","S_Guillou","ADN_20_01414","HL003","librairie_143_haplotypes615"
"S_20_00678","PTT_7278","G_20_00678","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NWH","Churchill","58.743","-94.386",1992,"7",4,"Churchill",NA,"M","qPCR","S_Guillou","ADN_20_01413","HL026","librairie_143_haplotypes615"
"S_20_00680","ARHU97_061","G_20_00680","BELUGA","Delphinapterus","leucas",NA,30,"F","NWH","Whale_Cove",NA,NA,1997,"8",10,"Whale Cove","L_OKALIK","F","qPCR","S_Guillou","ADN_20_01503","HL027","librairie_143_haplotypes615"
"S_20_00681","ARAR_99_1037","G_20_00681","BELUGA","Delphinapterus","leucas",NA,26,"M","NWH","Arviat_McConnel River",NA,NA,1999,"8",11,"Arviat",NA,"U","qPCR","C_Bonnet","ADN_20_01484","HL004","librairie_143_haplotypes615"
"S_20_00682","ARAR_99_1033","G_20_00682","BELUGA","Delphinapterus","leucas",NA,4,"F","NWH","Arviat",NA,NA,1999,"8",11,"Arviat",NA,"M","qPCR","S_Guillou","ADN_20_01483","HL003","librairie_143_haplotypes615"
"S_20_00683","ARAR_99_1024","G_20_00683","BELUGA","Delphinapterus","leucas",NA,26,"M","NWH","Arviat_Sentry Island",NA,NA,1999,"8",11,"Arviat",NA,"U","qPCR","S_Guillou","ADN_20_01401","HL015","librairie_143_haplotypes615"
"S_20_00684","ARHU97_019","G_20_00684","BELUGA","Delphinapterus","leucas",NA,39,"F","NWH","Chesterfield_Inlet_Baker Foreland",NA,NA,1997,"8",17,"Chesterfield Inlet",NA,"F","qPCR","S_Guillou","ADN_20_01508","HL003","librairie_143_haplotypes615"
"S_20_00685","ARCI_99_1023","G_20_00685","BELUGA","Delphinapterus","leucas",NA,29,"M","NWH","Chesterfield_Inlet_Josephine_River",NA,NA,1999,"8",22,"Chesterfield Inlet",NA,"M","qPCR","S_Guillou","ADN_20_06025","HL004","librairie_143_haplotypes615"
"S_20_00686","ARCI_99_1024","G_20_00686","BELUGA","Delphinapterus","leucas",NA,25,"M","NWH","Chesterfield_Inlet_Josephine_River",NA,NA,1999,"8",22,"Chesterfield Inlet",NA,"M","qPCR","S_Guillou","ADN_20_01409","HL004","librairie_143_haplotypes615"
"S_20_00687","ARAR_99_1038","G_20_00687","BELUGA","Delphinapterus","leucas",NA,27,"M","NWH","Arviat_McConnel River",NA,NA,1999,"8",11,"Arviat",NA,"M","qPCR","S_Guillou","ADN_20_01485","HL003","librairie_143_haplotypes615"
"S_20_00688","AREP85_09","G_20_00688","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NWH","Sentry_Island","61.092526","-93.976318",1985,"8",10,NA,"Noah_Muckpah","U","qPCR","S_Guillou","ADN_20_01544","HL001","librairie_143_haplotypes615"
"S_20_00689","AREP85_08","G_20_00689","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NWH","Sentry_Island","61.092527","-93.976319",1985,"7",31,NA,"Noah_Muckpah","M","qPCR","S_Guillou","ADN_20_01543","HL008","librairie_143_haplotypes615"
"S_20_00690","ARPG_05_1241","G_20_00690","BELUGA","Delphinapterus","leucas",NA,6,"M","CSB","Pangnirtung",NA,NA,2005,"7",9,"Pangnirtung","Jackie_Nowdlak","M","qPCR","S_Guillou","ADN_20_01058","HL003","librairie_143_haplotypes615"
"S_20_00691","ARPG_02_1036","G_20_00691","BELUGA","Delphinapterus","leucas",NA,19,"F","CSB","Pangnirtung_Imilit",NA,NA,2002,"7",22,"Pangnirtung","Adamee_Veevee","F","qPCR","C_Bonnet","ADN_20_01139","HL003","librairie_143_haplotypes615"
"S_20_00692","ARPG_05_1225","G_20_00692","BELUGA","Delphinapterus","leucas",NA,22,NA,"CSB","Pangnirtung_Tarriunittuq_Bay",NA,NA,2005,"8",3,"Pangnirtung","Billy_Euv","M","qPCR","S_Guillou","ADN_20_01055","HL003","librairie_143_haplotypes615"
"S_20_00693","ARPG_05_1212","G_20_00693","BELUGA","Delphinapterus","leucas",NA,24,"M","CSB","Pangnirtung",NA,NA,2005,"7",NA,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_04685","HL003","librairie_143_haplotypes615"
"S_20_00694","ARPG_02_1079","G_20_00694","BELUGA","Delphinapterus","leucas",NA,27,NA,"CSB","Pangnirtung_Angijak_Island","66.01","-63.02",2002,"7",22,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_01149","HL003","librairie_143_haplotypes615"
"S_20_00695","PGDL_02_03","G_20_00695","BELUGA","Delphinapterus","leucas",NA,NA,"M","CSB","Pangnirtung_West_Cumberland_Sound","65.24083333","-66.65805556",2002,"7",NA,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_01135","HL024","librairie_143_haplotypes615"
"S_20_00696","ARPG_06_02","G_20_00696","BELUGA","Delphinapterus","leucas",NA,NA,NA,"CSB","Pangnirtung",NA,NA,2006,"7",18,"Pangnirtung",NA,"F","qPCR","C_Bonnet","ADN_20_05675",NA,"librairie_143_haplotypes615"
"S_20_00697","ARPG_07_1314","G_20_00697","BELUGA","Delphinapterus","leucas",NA,26,"F","CSB","Pangnirtung",NA,NA,2007,"7",4,"Pangnirtung","Billy_Qaqasiq","F","qPCR","C_Bonnet","ADN_20_00985","HL028","librairie_143_haplotypes615"
"S_20_00698","ARJB_10_1002","G_20_00698","BELUGA","Delphinapterus","leucas",NA,NA,NA,"JAM","James_Bay",NA,NA,2010,"8",12,NA,NA,"U","qPCR","S_Guillou","ADN_20_00984","HL003","librairie_143_haplotypes615"
"S_20_00699","JBDL_07_06","G_20_00699","BELUGA","Delphinapterus","leucas",NA,NA,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",25,"DFO_MPO",NA,"M","qPCR","S_Guillou","ADN_20_00975","HL008","librairie_143_haplotypes615"
"S_20_00700","ARPG_02_003","G_20_00700","NARVAL","Monodon","monoceros",NA,NA,"M","CSB","Cumberland_sound","66.150824","-65.710121",2001,"5",23,"Pangnirtung",NA,"M","qPCR","C_Bonnet","ADN_20_01039",NA,"librairie_143_haplotypes615"
"S_20_00701","ARPG_05_1211","G_20_00701","BELUGA","Delphinapterus","leucas",NA,29,"M","CSB","Pangnirtung",NA,NA,2005,"7",12,"Pangnirtung","Joopa_Sowdalapiq","F","qPCR","C_Bonnet","ADN_20_01052","HL029","librairie_143_haplotypes615"
"S_20_00702","ARPG_02_1034","G_20_00702","BELUGA","Delphinapterus","leucas",NA,30,"M","CSB","Pangnirtung",NA,NA,2002,"7",22,"Pangnirtung",NA,"M","qPCR","C_Bonnet","ADN_20_01138","HL030","librairie_143_haplotypes615"
"S_20_00703","ARPG_06_1265","G_20_00703","BELUGA","Delphinapterus","leucas",NA,40,"M","CSB","Pangnirtung",NA,NA,2006,"7",1,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_01073","HL003","librairie_143_haplotypes615"
