"Numero_unique_specimen","Type_analyse","Annee_envoi","No_soumission_GQ","No_plaque_envoi","No_puits_envoi","Nom_projet","Numero_unique_groupe","Numero_reception_specimen","Nom_commun","Genre","Espece","Couleur_individu","Age","Sexe_visuel","Region_echantillonnage","Lieu_echantillonnage","Latitude_echantillonnage_DD","Longitude_echantillonnage_DD","Annee_echantillonnage","Mois_echantillonnage","Jour_echantillonnage","Communaute","Nom_chasseur","Sexe_laboratoire","Technique_sexage","Responsable_sexage","Numero_unique_extrait","Haplotype","Librairie_ref"
"S_20_00830","WGS",2021,"SCI034751","PE_21_00073","C07","MOBELS","G_20_00830","ARCI_99_1026","BELUGA","Delphinapterus","leucas",NA,29,"F","NWH","Chesterfield_Inlet",NA,NA,1999,"9",22,"Chesterfield Inlet",NA,"F","qPCR","S_Guillou","ADN_20_01411","HL003","librairie_143_haplotypes615"
"S_20_00784","WGS",2021,"SCI034751","PE_21_00073","C09","MOBELS","G_20_00784","ARPG_07_1328","BELUGA","Delphinapterus","leucas",NA,29,"M","CSB","Pangnirtung_Kangilo_Fjord",NA,NA,2007,"7",4,"Pangnirtung","R_Dialla","M","qPCR","C_Bonnet","ADN_20_00988","HL024","librairie_143_haplotypes615"
"S_20_00778","WGS",2021,"SCI034751","PE_21_00073","B12","MOBELS","G_20_00778","ARPG_02_1077","BELUGA","Delphinapterus","leucas",NA,38,"M","CSB","Pangnirtung_Imilit",NA,NA,2002,"7",6,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_01148","HL040","librairie_143_haplotypes615"
"S_20_00694","WGS",2021,"SCI034751","PE_21_00073","D06","MOBELS","G_20_00694","ARPG_02_1079","BELUGA","Delphinapterus","leucas",NA,27,NA,"CSB","Pangnirtung_Angijak_Island","66.01","-63.02",2002,"7",22,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_01149","HL003","librairie_143_haplotypes615"
"S_20_01140","WGS",2021,"SCI034751","PE_21_00073","A01","MOBELS","G_20_01140","DL19_153","BELUGA","Delphinapterus","leucas","White",19,NA,"SHS","Salluit",NA,NA,2019,"6",8,"Salluit","Poasie_Kaitak","M","qPCR","S_Guillou","ADN_20_02239","HL001","librairie_143_haplotypes615"
"S_20_00711","WGS",2021,"SCI034751","PE_21_00073","E05","MOBELS","G_20_00711","JBDL_07_02","BELUGA","Delphinapterus","leucas",NA,NA,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",9,"DFO_MPO",NA,"M","qPCR","S_Guillou","ADN_20_00972","HL008","librairie_143_haplotypes615"
"S_20_03453","WGS",2021,"SCI034751","PE_21_00073","H10","MOBELS","G_20_03453","DL2008_JB_04","BELUGA","Delphinapterus","leucas",NA,NA,"F","JAM","Pointe_de_Repentigny_James_Bay","52.64","-78.856",2008,"8",8,"DFO_MPO",NA,"M","qPCR","C_Bonnet","ADN_20_00979","HL008","librairie_143_haplotypes615"
"S_20_00792","WGS",2021,"SCI034751","PE_21_00073","B11","MOBELS","G_20_00792","ARAR_03_1066","BELUGA","Delphinapterus","leucas",NA,24,"M","NWH","Arviat",NA,NA,2003,"8",10,"Arviat",NA,"M","qPCR","C_Bonnet","ADN_20_01013","HL006","librairie_143_haplotypes615"
"S_20_02755","WGS",2021,"SCI034751","PE_21_00073","G01","MOBELS","G_20_02755","DL_9122","BELUGA","Delphinapterus","leucas",NA,28,"F","SHS","Kangiqsujuaq","61.598","-71.96",2007,"6",7,"Kangiqsujuaq",NA,"M","qPCR","S_Guillou","ADN_20_02545","HL003","librairie_143_haplotypes615"
"S_20_01883","WGS",2021,"SCI034751","PE_21_00073","D12","MOBELS","G_20_01883","WA94_10","BELUGA","Delphinapterus","leucas",NA,29,"M","SHS","Kangirsuapik","61.867","-72.183",1994,"10",17,"Kangiqsujuaq",NA,"M","qPCR","S_Guillou","ADN_20_02823","HL003","librairie_143_haplotypes615"
"S_20_02952","WGS",2021,"SCI034751","PE_21_00073","B08","MOBELS","G_20_02952","DL18_140","BELUGA","Delphinapterus","leucas",NA,NA,"M","SHS","Kangiqsujuaq","61.598","-71.96",2018,"7",15,"Kangiqsujuaq",NA,"M","qPCR","S_Guillou","ADN_20_04008","HL001","librairie_143_haplotypes615"
"S_20_00986","WGS",2021,"SCI034751","PE_21_00073","C02","MOBELS","G_20_00986","NQ04_5189","BELUGA","Delphinapterus","leucas",NA,24,NA,"SHS","Ivujivik","62.418","-77.911",2004,"7",7,"Akulivik",NA,"U","qPCR","S_Guillou","ADN_20_01464","HL003","librairie_143_haplotypes615"
"S_20_02317","WGS",2021,"SCI034751","PE_21_00073","H04","MOBELS","G_20_02317","NQDL0007","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SHS","Kangiqsujuaq",NA,NA,2000,"6",26,"Kangiqsujuaq",NA,"M","qPCR","S_Guillou","ADN_20_04454","HL043","librairie_143_haplotypes615"
"S_20_02328","WGS",2021,"SCI034751","PE_21_00073","H12","MOBELS","G_20_02328","DL0023","BELUGA","Delphinapterus","leucas",NA,28,"F","SHS","Salluit","62.1","-75.514",2000,"7",6,"Salluit",NA,"M","qPCR","S_Guillou","ADN_20_04465","HL001","librairie_143_haplotypes615"
"S_20_03551","WGS",2021,"SCI034751","PE_21_00073","D10","MOBELS","G_20_03551","B2017_05","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SHS","Quaqtaq",NA,NA,2017,"11",22,"Kuujjuaq","Norman_Cooper","M","qPCR","C_Bonnet","ADN_20_04518","HL003","librairie_143_haplotypes615"
"S_20_01162","WGS",2021,"SCI034751","PE_21_00073","C05","MOBELS","G_20_01162","DL19_001","BELUGA","Delphinapterus","leucas","White",NA,NA,"SHS","Kangiqsujuaq",NA,NA,2019,"11",4,"Kangiqsujuaq","Willie_Alaku_jr","M","qPCR","S_Guillou","ADN_20_04558","HL010","librairie_143_haplotypes615"
"S_20_01174","WGS",2021,"SCI034751","PE_21_00073","A08","MOBELS","G_20_01174","DL18_262","BELUGA","Delphinapterus","leucas","White",NA,NA,"SEH","Kuujjuarapik",NA,NA,2020,"10",3,"Kuujjuaraapik","Daniel_Roussel","F","qPCR","S_Guillou","ADN_20_04577","HL001","librairie_143_haplotypes615"
"S_20_01726","WGS",2021,"SCI034751","PE_21_00073","C06","MOBELS","G_20_01726","DL19_205","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SHS","Ivujivik",NA,NA,2019,"7",2,NA,NA,"M","qPCR","S_Guillou","ADN_20_04589","HL097","librairie_143_haplotypes615"
"S_20_01743","WGS",2021,"SCI034751","PE_21_00073","C08","MOBELS","G_20_01743","DL12_087","BELUGA","Delphinapterus","leucas","White",NA,NA,"SHS","Quaqtaq",NA,NA,2020,"7",1,"Tasiujaq","Willie_Cain_jr","M","qPCR","S_Guillou","ADN_20_04591","HL003","librairie_143_haplotypes615"
"S_20_01165","WGS",2021,"SCI034751","PE_21_00073","E11","MOBELS","G_20_01165","DL19_013","BELUGA","Delphinapterus","leucas","White",NA,NA,"SHS","Kangiqsujuaq",NA,NA,2019,"11",6,"Kangiqsujuaq","Aipillie_Sakiagak","M","qPCR","S_Guillou","ADN_20_04604","HL010","librairie_143_haplotypes615"
"S_20_01149","WGS",2021,"SCI034751","PE_21_00073","H03","MOBELS","G_20_01149","DL19_040","BELUGA","Delphinapterus","leucas","White",NA,NA,"SHS","Quaqtaq",NA,NA,2019,"6",15,"Kuujjuaq","George_Peters","F","qPCR","S_Guillou","ADN_20_04606","HL014","librairie_143_haplotypes615"
"S_20_01250","WGS",2021,"SCI034751","PE_21_00073","E08","MOBELS","G_20_01250","ARAR_1999_1017","BELUGA","Delphinapterus","leucas",NA,13,"M","NWH","Arviat_McConnell_River",NA,NA,1999,"8",11,"Arviat","Bobby_Suluk","M","qPCR","S_Guillou","ADN_20_04639","HL001","librairie_143_haplotypes615"
"S_20_01270","WGS",2021,"SCI034751","PE_21_00073","G08","MOBELS","G_20_01270","B97_018","BELUGA","Delphinapterus","leucas",NA,25,"M","CSB","Pangnirtung_Imilit",NA,NA,1997,"7",13,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_04666","HL042","librairie_143_haplotypes615"
"S_20_01278","WGS",2021,"SCI034751","PE_21_00073","H01","MOBELS","G_20_01278","B93_31","BELUGA","Delphinapterus","leucas",NA,27,"M","NHS","Itivik_Bay",NA,NA,1993,"10",13,"Kimmirut",NA,"M","qPCR","S_Guillou","ADN_20_04674","HL003","librairie_143_haplotypes615"
"S_20_01310","WGS",2021,"SCI034751","PE_21_00073","D02","MOBELS","G_20_01310","ARAR_1999_1028","BELUGA","Delphinapterus","leucas",NA,16,"F","NWH","Arviat_Qiqiqtaarjuk",NA,NA,1999,"8",19,"Arviat","Anson_Kijusiutrak","F","qPCR","S_Guillou","ADN_20_04710","HL051","librairie_143_haplotypes615"
"S_20_01366","WGS",2021,"SCI034751","PE_21_00073","B04","MOBELS","G_20_01366","ARAR_2014_1329","BELUGA","Delphinapterus","leucas",NA,13,"F","NWH","Arviat_Point",NA,NA,2014,"7",28,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_04780","HL059","librairie_143_haplotypes615"
"S_20_01355","WGS",2021,"SCI034751","PE_21_00073","H11","MOBELS","G_20_01355","ARLH_2001_1027","BELUGA","Delphinapterus","leucas",NA,22,"M","NHS",NA,NA,NA,2001,"11",8,"Kimmirut","Elijah_Padluq","M","qPCR","S_Guillou","ADN_20_04786","HL003","librairie_143_haplotypes615"
"S_20_01357","WGS",2021,"SCI034751","PE_21_00073","E12","MOBELS","G_20_01357","ARLH_2001_1041","BELUGA","Delphinapterus","leucas",NA,30,"F","NHS","Kimmirut",NA,NA,2001,"11",8,"Kimmirut","Sandy_Akavak","F","qPCR","S_Guillou","ADN_20_04788","HL003","librairie_143_haplotypes615"
"S_20_01337","WGS",2021,"SCI034751","PE_21_00073","C01","MOBELS","G_20_01337","ARLH_2009_1238","BELUGA","Delphinapterus","leucas",NA,21,"F","NHS","Big_Island",NA,NA,2009,"6",10,"Kimmirut","Joanie_Ikkikluak","F","qPCR","S_Guillou","ADN_20_04798","HL011","librairie_143_haplotypes615"
"S_20_01331","WGS",2021,"SCI034751","PE_21_00073","F04","MOBELS","G_20_01331","ARIQ_2002_1045","BELUGA","Delphinapterus","leucas",NA,6,"F","FRB","Iqaluit",NA,NA,2002,"7",26,"Iqaluit","P_Kilabuk","F","qPCR","S_Guillou","ADN_20_04810","HL012","librairie_143_haplotypes615"
"S_20_00661","WGS",2021,"SCI034751","PE_21_00073","A10","MOBELS","G_20_00661","ARPG_02_1054","BELUGA","Delphinapterus","leucas",NA,17,"F","CSB","Pangnirtung_Imigen",NA,NA,2002,"7",6,"Pangnirtung","Jackie_Noodlak","F","qPCR","S_Guillou","ADN_20_01144","HL003","librairie_143_haplotypes615"
"S_20_01410","WGS",2021,"SCI034751","PE_21_00073","H07","MOBELS","G_20_01410","FMSQ_2010_1004","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SAN","Flaherty_Island","56.1354","-79.30304",2011,"12",29,"Sanikiluaq","Johnny_Kavik","M","qPCR","S_Guillou","ADN_20_04864","HL012","librairie_143_haplotypes615"
"S_20_01472","WGS",2021,"SCI034751","PE_21_00073","D04","MOBELS","G_20_01472","ARIQ_DFO_2013_1024","BELUGA","Delphinapterus","leucas",NA,NA,"M","SAN","Coats_Bay","56.23333","-79.5",2013,"2",15,"Sanikiluaq","Peter_Kattuk","M","qPCR","S_Guillou","ADN_20_04890","HL008","librairie_143_haplotypes615"
"S_20_01475","WGS",2021,"SCI034751","PE_21_00073","E09","MOBELS","G_20_01475","ARIQ_DFO_2013_1036","BELUGA","Delphinapterus","leucas",NA,NA,"M","SAN","Coats_Bay","56.23333","-79.5",2013,"2",15,"Sanikiluaq","Peter_Kattuk","M","qPCR","S_Guillou","ADN_20_04893","HL016","librairie_143_haplotypes615"
"S_20_01453","WGS",2021,"SCI034751","PE_21_00073","D07","MOBELS","G_20_01453","B93_29","BELUGA","Delphinapterus","leucas",NA,68,"F","NHS","Big_Island_Area",NA,NA,1993,"7",10,"Kimmirut","Lucasie_Ikkidluak","F","qPCR","S_Guillou","ADN_20_04900","HL015","librairie_143_haplotypes615"
"S_20_01454","WGS",2021,"SCI034751","PE_21_00073","A03","MOBELS","G_20_01454","B93_67","BELUGA","Delphinapterus","leucas",NA,30,"M","FRB","Kajoosie_Inlet",NA,NA,1993,"8",17,"Iqaluit",NA,"M","qPCR","S_Guillou","ADN_20_04901","HL042","librairie_143_haplotypes615"
"S_20_01462","WGS",2021,"SCI034751","PE_21_00073","B10","MOBELS","G_20_01462","B94_174","BELUGA","Delphinapterus","leucas",NA,11,"M","FRB",NA,NA,NA,1994,"7",23,"Iqaluit","Soatyi_Shoo","M","qPCR","S_Guillou","ADN_20_04909","HL003","librairie_143_haplotypes615"
"S_20_01463","WGS",2021,"SCI034751","PE_21_00073","G11","MOBELS","G_20_01463","B95_217","BELUGA","Delphinapterus","leucas",NA,16,"F","NHS",NA,NA,NA,1996,"5",18,"Kimmirut","SANDY_AKAVAK","F","qPCR","S_Guillou","ADN_20_04910","HL003","librairie_143_haplotypes615"
"S_20_01465","WGS",2021,"SCI034751","PE_21_00073","A04","MOBELS","G_20_01465","B95_226","BELUGA","Delphinapterus","leucas",NA,7,"F","SAN","Sanikiluaq",NA,NA,1995,"7",8,"Sanikiluaq","Lucassie_Ippak","F","qPCR","S_Guillou","ADN_20_04912","HL022","librairie_143_haplotypes615"
"S_20_01444","WGS",2021,"SCI034751","PE_21_00073","C10","MOBELS","G_20_01444","B96_114","BELUGA","Delphinapterus","leucas",NA,10,"M","FRB","Hidden_Bay",NA,NA,1996,"8",5,"Iqaluit",NA,"M","qPCR","S_Guillou","ADN_20_04918","HL012","librairie_143_haplotypes615"
"S_20_01434","WGS",2021,"SCI034751","PE_21_00073","D11","MOBELS","G_20_01434","B96_214","BELUGA","Delphinapterus","leucas",NA,9,"F","FRB",NA,NA,NA,1996,"7",16,"Iqaluit",NA,"F","qPCR","S_Guillou","ADN_20_04926","HL081","librairie_143_haplotypes615"
"S_20_01494","WGS",2021,"SCI034751","PE_21_00073","B06","MOBELS","G_20_01494","B94_133","BELUGA","Delphinapterus","leucas",NA,36,"M","NHS",NA,NA,NA,1994,"10",27,"Kimmirut","Gootelea_Jutia","M","qPCR","S_Guillou","ADN_20_04961","HL003","librairie_143_haplotypes615"
"S_20_01513","WGS",2021,"SCI034751","PE_21_00073","A11","MOBELS","G_20_01513","ARRE_2012_1303","BELUGA","Delphinapterus","leucas",NA,NA,"F","RES","Resolute_Bay",NA,NA,2012,"8",22,"Resolute","Paddy_Aqiatushuk","F","qPCR","S_Guillou","ADN_20_04985","HL086","librairie_143_haplotypes615"
"S_20_01386","WGS",2021,"SCI034751","PE_21_00073","H02","MOBELS","G_20_01386","ARLH_2008_1210","BELUGA","Delphinapterus","leucas",NA,5,"M","NHS","Kimmirut",NA,NA,2008,"6",19,"Kimmirut","Jawlie_Akavak","F","qPCR","S_Guillou","ADN_20_04802","HL052","librairie_143_haplotypes615"
"S_20_03385","WGS",2021,"SCI034751","PE_21_00073","F11","MOBELS","G_20_03385","DL18_335P","BELUGA","Delphinapterus","leucas",NA,NA,"M","SHS","Ivujivik",NA,NA,2018,"11",1,"Salluit",NA,"M","qPCR","S_Guillou","ADN_20_05060","HL003","librairie_143_haplotypes615"
"S_20_03439","WGS",2021,"SCI034751","PE_21_00073","F08","MOBELS","G_20_03439","DLWB95_12","BELUGA","Delphinapterus","leucas",NA,12,"F","SHS","Tupirvikallak","61.5455555555556","-71.7163888888889",1995,"7",5,"Kangiqsujuaq",NA,"F","qPCR","S_Guillou","ADN_20_05084","HL003","librairie_143_haplotypes615"
"S_20_03671","WGS",2021,"SCI034751","PE_21_00073","F01","MOBELS","G_20_03671","ARSQ_20_1702","BELUGA","Delphinapterus","leucas",NA,NA,"M","SAN","Sanikiluaq","56.78","-79.81",2020,"7",2,"Sanikiluaq",NA,"M","qPCR","S_Guillou","ADN_20_05105",NA,"librairie_143_haplotypes615"
"S_20_03675","WGS",2021,"SCI034751","PE_21_00073","A02","MOBELS","G_20_03675","B97_105","BELUGA","Delphinapterus","leucas",NA,31,"M","SAN","Sanikiluaq",NA,NA,1998,"5",11,"Sanikiluaq",NA,"M","qPCR","S_Guillou","ADN_20_05109","HL076","librairie_143_haplotypes615"
"S_20_03678","WGS",2021,"SCI034751","PE_21_00073","A05","MOBELS","G_20_03678","ARSQ_07_1156","BELUGA","Delphinapterus","leucas",NA,24,"M","SAN","Hudson_Bay",NA,NA,2007,"6",20,"Sanikiluaq","Johnny_Kavik","M","qPCR","S_Guillou","ADN_20_05112","HL032","librairie_143_haplotypes615"
"S_20_03681","WGS",2021,"SCI034751","PE_21_00073","E01","MOBELS","G_20_03681","ARSQ_07_1160","BELUGA","Delphinapterus","leucas",NA,34,"M","SAN","Sanikiluaq",NA,NA,2007,"6",20,"Sanikiluaq","Johnny_Kudluarok","M","qPCR","S_Guillou","ADN_20_05115","HL001","librairie_143_haplotypes615"
"S_20_03689","WGS",2021,"SCI034751","PE_21_00073","C03","MOBELS","G_20_03689","ARSQ_08_1179","BELUGA","Delphinapterus","leucas",NA,12,"M","SAN","Claw_Point_Kataluuk",NA,NA,2008,"5",23,"Sanikiluaq","Charlie_Sala","M","qPCR","S_Guillou","ADN_20_05123","HL063","librairie_143_haplotypes615"
"S_20_03466","WGS",2021,"SCI034751","PE_21_00073","B03","MOBELS","G_20_03466","ARSQ_09_1241","BELUGA","Delphinapterus","leucas",NA,27,"F","SAN","Wiegand_Island","56.932777999999999","-79.422222000000005",2009,"6",9,"Sanikiluaq","Johnassie_Inuktaluk","F","qPCR","S_Guillou","ADN_20_04511","HL003","librairie_143_haplotypes615"
"S_20_03719","WGS",2021,"SCI034751","PE_21_00073","C12","MOBELS","G_20_03719","ARSQ_10_1252","BELUGA","Delphinapterus","leucas",NA,33,"M","SAN","Sanikiluaq",NA,NA,2010,"5",13,"Sanikiluaq",NA,"M","qPCR","S_Guillou","ADN_20_05153","HL008","librairie_143_haplotypes615"
"S_20_03726","WGS",2021,"SCI034751","PE_21_00073","D09","MOBELS","G_20_03726","ARSQ_10_1268","BELUGA","Delphinapterus","leucas",NA,35,"M","SAN","Sanikiluaq",NA,NA,2010,"5",24,"Sanikiluaq",NA,"M","qPCR","S_Guillou","ADN_20_05160","HL072","librairie_143_haplotypes615"
"S_20_03742","WGS",2021,"SCI034751","PE_21_00073","C11","MOBELS","G_20_03742","ARSQ_11_1284","BELUGA","Delphinapterus","leucas",NA,56,"M","SAN","Renouf_Island","56.53583","-79.12002",2011,"6",14,"Sanikiluaq","Davidee_Oqaituk","M","qPCR","S_Guillou","ADN_20_05173","HL001","librairie_143_haplotypes615"
"S_20_03743","WGS",2021,"SCI034751","PE_21_00073","D01","MOBELS","G_20_03743","ARSQ_11_1293","BELUGA","Delphinapterus","leucas",NA,51,"F","SAN","Sanikiluaq",NA,NA,2011,"6",2,"Sanikiluaq",NA,"F","qPCR","S_Guillou","ADN_20_05174","HL022","librairie_143_haplotypes615"
"S_20_03750","WGS",2021,"SCI034751","PE_21_00073","D08","MOBELS","G_20_03750","ARIQ_DFO_1028","BELUGA","Delphinapterus","leucas",NA,30,"M","SAN","Coats_Bay",NA,NA,2013,"2",15,"Sanikiluaq",NA,"M","qPCR","S_Guillou","ADN_20_05181","HL034","librairie_143_haplotypes615"
"S_20_03754","WGS",2021,"SCI034751","PE_21_00073","F10","MOBELS","G_20_03754","ARSQ_20_1741","BELUGA","Delphinapterus","leucas",NA,NA,"F","SAN","Sanikiluaq","55.470640000000003","-79.168480000000002",2020,"6",29,"Sanikiluaq",NA,"F","qPCR","S_Guillou","ADN_20_05185","HL022","librairie_143_haplotypes615"
"S_20_03760","WGS",2021,"SCI034751","PE_21_00073","H08","MOBELS","G_20_03760","ARSQ_06_1143","BELUGA","Delphinapterus","leucas",NA,23,"M","SAN","Sanikiluaq",NA,NA,2006,"5",20,"Sanikiluaq",NA,"M","qPCR","S_Guillou","ADN_20_05191","HL014","librairie_143_haplotypes615"
"S_20_03803","WGS",2021,"SCI034751","PE_21_00073","E06","MOBELS","G_20_03803","97_B93_071_SQ","BELUGA","Delphinapterus","leucas",NA,21,"F","SAN","Sanikiluaq",NA,NA,1997,"6",12,"Sanikiluaq",NA,"F","qPCR","S_Guillou","ADN_20_05227","HL001","librairie_143_haplotypes615"
"S_20_03817","WGS",2021,"SCI034751","PE_21_00073","B07","MOBELS","G_20_03817","97_B96_197_SQ","BELUGA","Delphinapterus","leucas",NA,42,"M","SAN","Sanikiluaq",NA,NA,1997,"10",1,"Sanikiluaq","LUCASSIE_TAKATAK","U","qPCR","S_Guillou","ADN_20_05234",NA,"librairie_143_haplotypes615"
"S_20_03880","WGS",2021,"SCI034751","PE_21_00073","B05","MOBELS","G_20_03880","ARSQ_05_1118","BELUGA","Delphinapterus","leucas",NA,19,"M","SAN","Sanikiluaq",NA,NA,2005,"5",8,"Sanikiluaq",NA,"M","qPCR","S_Guillou","ADN_20_05284","HL074","librairie_143_haplotypes615"
"S_20_00756","WGS",2021,"SCI034751","PE_21_00073","E04","MOBELS","G_20_00756","ARSQ_04_1077","BELUGA","Delphinapterus","leucas",NA,28,"F","SAN","Sanikiluaq",NA,NA,2004,"6",17,"Sanikiluaq","Charlie_Sala","F","qPCR","S_Guillou","ADN_20_01098","HL001","librairie_143_haplotypes615"
"S_20_03969","WGS",2021,"SCI034751","PE_21_00073","G04","MOBELS","G_20_03969","ARSQ_18_1675","BELUGA","Delphinapterus","leucas",NA,15,"F","SAN","Wiegand_Island","56.73241","-79.25686",2018,"6",2,"Sanikiluaq","Johnny_Kavik","F","qPCR","S_Guillou","ADN_20_05371","HL035","librairie_143_haplotypes615"
